Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.001514,0.001936,3.80,4,10
11,0.001686,0.001788,4.00,4,10
12,0.001809,0.001992,4.00,4,10
13,0.001981,0.002086,4.00,4,10
14,0.002137,0.002347,4.00,4,10
15,0.002429,0.002574,4.00,4,10
16,0.002528,0.002750,4.00,4,10
17,0.002658,0.002874,4.10,5,10
18,0.002905,0.003172,4.30,5,10
19,0.003219,0.003508,4.30,5,10
20,0.003452,0.003635,4.60,5,10
21,0.003656,0.003742,4.80,5,10
22,0.003778,0.004016,4.70,5,10
23,0.003965,0.004365,4.90,5,10
24,0.004404,0.005203,5.00,5,10
25,0.004591,0.004977,4.90,5,10
26,0.004645,0.005096,4.90,5,10
27,0.005457,0.006143,5.00,5,10
28,0.006236,0.006487,5.00,5,10
29,0.006397,0.006506,5.00,5,10
30,0.006719,0.007023,5.00,5,10
31,0.007027,0.007351,5.00,5,10
32,0.007239,0.007532,5.00,5,10
33,0.007499,0.007833,5.00,5,10
34,0.007728,0.008022,5.00,5,10
35,0.007865,0.008156,5.00,5,10
36,0.008256,0.009280,5.10,6,10
37,0.008538,0.009078,5.10,6,10
38,0.008839,0.009790,5.10,6,10
39,0.009197,0.009865,5.30,6,10
40,0.009460,0.009888,5.10,6,10
41,0.013077,0.042908,5.30,6,10
42,0.010056,0.010651,5.10,6,10
43,0.010675,0.011236,5.60,6,10
44,0.010639,0.011599,5.40,6,10
45,0.011011,0.011498,5.60,6,10
46,0.010918,0.011596,5.20,6,10
47,0.011792,0.012225,5.90,6,10
48,0.011977,0.012731,5.70,6,10
49,0.012393,0.013463,6.00,6,10
50,0.012409,0.012886,5.70,6,10
51,0.012970,0.013555,5.90,6,10
52,0.013247,0.013986,5.80,6,10
53,0.013389,0.014076,5.80,6,10
54,0.013591,0.014834,5.70,6,10
55,0.017988,0.055039,6.00,6,10
56,0.014198,0.014719,6.00,6,10
57,0.014561,0.015318,6.00,6,10
58,0.014703,0.015286,5.90,6,10
59,0.015044,0.015642,5.90,6,10
60,0.015446,0.016239,6.00,6,10
61,0.015752,0.016854,6.00,6,10
62,0.015896,0.016438,5.90,6,10
63,0.016003,0.016786,6.00,6,10
64,0.019331,0.045385,6.00,6,10
65,0.016621,0.017275,6.00,6,10
66,0.016786,0.017154,6.00,6,10
67,0.017265,0.018097,6.00,6,10
68,0.017417,0.017906,6.00,6,10
69,0.020992,0.048471,6.00,6,10
70,0.021177,0.047945,6.00,6,10
71,0.018633,0.019523,6.00,6,10
72,0.018841,0.019767,6.00,6,10
73,0.021772,0.048784,6.00,6,10
74,0.019572,0.020725,6.00,6,10
75,0.019362,0.020061,6.00,6,10
76,0.020104,0.020596,6.00,6,10
77,0.020134,0.021031,6.00,6,10
78,0.020590,0.022116,6.10,7,10
79,0.020765,0.021944,6.00,6,10
80,0.021212,0.022082,6.10,7,10
81,0.018082,0.019260,6.20,7,10
82,0.017536,0.018455,6.00,6,10
83,0.017355,0.018637,6.00,6,10
84,0.017583,0.019095,6.00,6,10
85,0.022399,0.024814,6.10,7,10
86,0.025919,0.052835,6.20,7,10
87,0.028044,0.067056,6.40,7,10
88,0.024421,0.026453,6.40,7,10
89,0.022935,0.057008,6.20,7,10
90,0.019616,0.045281,6.30,7,10
91,0.019615,0.046824,6.10,7,10
92,0.020090,0.048572,6.20,7,10
93,0.018382,0.021394,6.60,7,10
94,0.017753,0.019091,6.20,7,10
95,0.023985,0.049887,6.40,7,10
96,0.020868,0.050831,6.40,7,10
97,0.018389,0.020134,6.60,7,10
98,0.018154,0.019303,6.50,7,10
99,0.020830,0.044160,6.40,7,10
100,0.021648,0.046397,6.50,7,10
101,0.018396,0.019882,6.50,7,10
102,0.019358,0.020669,6.50,7,10
103,0.019514,0.020812,6.80,7,10
104,0.019654,0.020859,6.50,7,10
105,0.020600,0.021911,6.80,7,10
106,0.019997,0.021840,6.70,7,10
107,0.023036,0.042817,6.70,7,10
108,0.022846,0.046226,6.60,7,10
109,0.023323,0.046936,6.80,7,10
110,0.020548,0.021715,6.60,7,10
111,0.028577,0.060361,6.90,7,10
112,0.021772,0.023145,6.80,7,10
113,0.024093,0.047615,6.90,7,10
114,0.022167,0.022688,7.00,7,10
115,0.032369,0.063065,6.90,7,10
116,0.032814,0.034563,6.80,7,10
117,0.033497,0.034820,7.00,7,10
118,0.036020,0.061002,7.00,7,10
119,0.039325,0.065139,7.00,7,10
120,0.037089,0.064390,7.00,7,10
121,0.040615,0.064860,7.00,7,10
122,0.040285,0.066420,7.00,7,10
123,0.034660,0.036250,6.90,7,10
124,0.040176,0.064482,6.80,7,10
125,0.037941,0.063911,7.00,7,10
126,0.035482,0.037225,6.90,7,10
127,0.039969,0.066940,6.90,7,10
128,0.036454,0.039241,6.90,7,10
129,0.040276,0.073784,6.80,7,10
130,0.039571,0.069665,6.90,7,10
131,0.037670,0.040166,7.00,7,10
132,0.038527,0.040432,7.00,7,10
133,0.040967,0.065824,7.00,7,10
134,0.038753,0.039888,7.00,7,10
135,0.041779,0.064516,6.90,7,10
136,0.038610,0.039673,7.00,7,10
137,0.042682,0.068385,6.90,7,10
138,0.046319,0.069963,7.00,7,10
139,0.040671,0.042511,7.00,7,10
140,0.043055,0.068357,7.00,7,10
141,0.046620,0.070285,6.90,7,10
142,0.044468,0.071868,7.00,7,10
143,0.050066,0.071089,7.00,7,10
144,0.041585,0.043470,7.00,7,10
145,0.041988,0.043250,7.00,7,10
146,0.045590,0.073042,7.00,7,10
147,0.045163,0.070818,7.00,7,10
148,0.042526,0.044931,7.00,7,10
149,0.036328,0.042822,7.00,7,10
150,0.034571,0.036309,6.90,7,10
151,0.046374,0.071136,7.00,7,10
152,0.047088,0.074791,7.00,7,10
153,0.044188,0.045477,7.00,7,10
154,0.048732,0.076188,7.00,7,10
155,0.053832,0.074724,7.00,7,10
156,0.045027,0.046764,7.00,7,10
157,0.045371,0.046766,7.00,7,10
158,0.048891,0.076548,7.00,7,10
159,0.052293,0.074514,7.00,7,10
160,0.046771,0.047999,7.00,7,10
161,0.053248,0.076737,7.00,7,10
162,0.049857,0.074503,7.00,7,10
163,0.047890,0.048631,7.00,7,10
164,0.053294,0.095894,7.00,7,10
165,0.049194,0.050773,7.00,7,10
166,0.051436,0.082762,7.10,8,10
167,0.045308,0.073902,7.00,7,10
168,0.047484,0.076463,7.00,7,10
169,0.054919,0.079930,7.00,7,10
170,0.049476,0.050138,7.00,7,10
171,0.053839,0.082695,7.00,7,10
172,0.053940,0.079918,7.00,7,10
173,0.058201,0.087171,7.00,7,10
174,0.057623,0.082753,7.00,7,10
175,0.051702,0.053128,7.00,7,10
176,0.055149,0.085603,7.10,8,10
177,0.052176,0.054356,7.00,7,10
178,0.056039,0.088777,7.00,7,10
179,0.053486,0.059738,7.10,8,10
180,0.059603,0.086363,7.00,7,10
181,0.060272,0.085253,7.10,8,10
182,0.051544,0.083656,7.20,8,10
183,0.049240,0.081481,7.00,7,10
184,0.056184,0.092685,7.20,8,10
185,0.045828,0.086877,7.20,8,10
186,0.042017,0.066787,7.20,8,10
187,0.047385,0.063696,7.30,8,10
188,0.042725,0.066184,7.20,8,10
189,0.044784,0.074031,7.20,8,10
190,0.038799,0.041530,7.40,8,10
191,0.039606,0.045000,7.30,8,10
192,0.043953,0.067633,7.20,8,10
193,0.043317,0.067398,7.10,8,10
194,0.042049,0.070751,7.40,8,10
195,0.043455,0.064104,7.10,8,10
196,0.044978,0.068255,7.30,8,10
197,0.054021,0.090308,7.40,8,10
198,0.056234,0.090618,7.10,8,10
199,0.054751,0.080194,7.50,8,10
200,0.051168,0.077717,7.10,8,10
201,0.049198,0.076144,7.20,8,10
202,0.052678,0.072853,7.20,8,10
203,0.048717,0.052849,7.20,8,10
204,0.066813,0.094695,7.50,8,10
205,0.067620,0.089708,7.30,8,10
206,0.062630,0.067258,7.60,8,10
207,0.065190,0.091693,7.40,8,10
208,0.068658,0.088672,7.50,8,10
209,0.065539,0.091452,7.20,8,10
210,0.062036,0.066675,7.10,8,10
211,0.070091,0.095140,7.50,8,10
212,0.069624,0.096291,7.20,8,10
213,0.068565,0.098387,7.40,8,10
214,0.064953,0.068370,7.50,8,10
215,0.077383,0.103521,7.70,8,10
216,0.068091,0.096103,7.50,8,10
217,0.073448,0.100388,8.00,8,10
218,0.071512,0.106570,7.80,8,10
219,0.068957,0.098441,7.40,8,10
220,0.074104,0.105876,7.60,8,10
221,0.069935,0.101776,7.60,8,10
222,0.075066,0.100739,7.80,8,10
223,0.079939,0.111743,7.60,8,10
224,0.072683,0.114654,7.80,8,10
225,0.076386,0.106452,7.70,8,10
226,0.079756,0.107772,7.60,8,10
227,0.071990,0.094365,7.60,8,10
228,0.079312,0.102314,7.90,8,10
229,0.077710,0.108216,7.60,8,10
230,0.074582,0.102235,7.80,8,10
231,0.076516,0.104696,8.00,8,10
232,0.078560,0.103161,7.70,8,10
233,0.074097,0.098102,7.60,8,10
234,0.081155,0.111525,7.90,8,10
235,0.076258,0.104201,7.70,8,10
236,0.079438,0.106013,7.60,8,10
237,0.078129,0.112035,7.80,8,10
238,0.079844,0.102464,7.80,8,10
239,0.090656,0.119216,7.80,8,10
240,0.075162,0.080302,7.90,8,10
241,0.079806,0.105107,7.40,8,10
242,0.076951,0.079901,7.80,8,10
243,0.080013,0.114571,7.80,8,10
244,0.089337,0.121541,8.00,8,10
245,0.083505,0.113775,8.00,8,10
246,0.080954,0.121389,8.00,8,10
247,0.091372,0.116966,7.60,8,10
248,0.089880,0.111158,7.80,8,10
249,0.086310,0.110005,7.80,8,10
250,0.088678,0.106789,7.90,8,10
251,0.088147,0.112412,7.90,8,10
252,0.087682,0.112714,7.90,8,10
253,0.079005,0.083034,7.80,8,10
254,0.085130,0.114507,7.90,8,10
255,0.085561,0.112692,7.80,8,10
256,0.089203,0.112971,7.90,8,10
257,0.083370,0.106943,7.90,8,10
258,0.091740,0.117942,7.80,8,10
259,0.091636,0.116897,7.90,8,10
260,0.084721,0.109759,7.90,8,10
261,0.091455,0.118268,7.90,8,10
262,0.090009,0.121962,7.90,8,10
263,0.093347,0.125490,8.00,8,10
264,0.093812,0.123616,7.90,8,10
265,0.094855,0.124658,7.90,8,10
266,0.093973,0.114166,8.00,8,10
267,0.089768,0.112706,7.80,8,10
268,0.091272,0.115037,8.00,8,10
269,0.094823,0.118232,7.90,8,10
270,0.092444,0.116821,7.90,8,10
271,0.095108,0.113646,8.00,8,10
272,0.096334,0.115613,7.90,8,10
273,0.092326,0.115921,8.00,8,10
274,0.098595,0.137582,8.00,8,10
275,0.097603,0.118527,8.00,8,10
276,0.095474,0.123002,7.90,8,10
277,0.092215,0.124428,7.90,8,10
278,0.098025,0.126138,7.90,8,10
279,0.099913,0.120103,8.00,8,10
280,0.094967,0.119046,8.00,8,10
281,0.096960,0.129909,7.90,8,10
282,0.098742,0.120215,8.00,8,10
283,0.100326,0.126668,8.00,8,10
284,0.094019,0.123551,8.00,8,10
285,0.096889,0.123257,8.00,8,10
286,0.080330,0.118825,8.00,8,10
287,0.076137,0.105803,7.90,8,10
288,0.067366,0.088659,8.00,8,10
289,0.068962,0.091261,7.80,8,10
290,0.073705,0.095026,8.00,8,10
291,0.071781,0.092994,8.00,8,10
292,0.072656,0.096268,8.00,8,10
293,0.072147,0.099690,8.00,8,10
294,0.070860,0.095839,7.90,8,10
295,0.105637,0.137813,8.00,8,10
296,0.102147,0.128674,8.00,8,10
297,0.103411,0.131609,8.00,8,10
298,0.099014,0.127515,7.90,8,10
299,0.101570,0.128663,8.00,8,10
300,0.110067,0.140505,8.00,8,10
301,0.105977,0.132828,8.00,8,10
302,0.103177,0.132888,8.00,8,10
303,0.095719,0.124927,8.00,8,10
304,0.076139,0.101470,8.00,8,10
305,0.085962,0.108172,8.00,8,10
306,0.070554,0.094336,8.00,8,10
307,0.072436,0.089318,8.00,8,10
308,0.079459,0.096840,8.00,8,10
309,0.068920,0.093243,8.00,8,10
310,0.071301,0.089287,8.00,8,10
311,0.070813,0.090818,8.00,8,10
312,0.089979,0.104913,8.00,8,10
313,0.108239,0.131564,8.00,8,10
314,0.111287,0.134644,8.00,8,10
315,0.106893,0.135794,8.00,8,10
316,0.108507,0.134383,8.00,8,10
317,0.107995,0.131179,8.00,8,10
318,0.107231,0.133347,8.00,8,10
319,0.107572,0.137877,8.00,8,10
320,0.115928,0.145888,8.00,8,10
321,0.108634,0.150381,8.00,8,10
322,0.112548,0.144467,8.00,8,10
323,0.075248,0.104529,8.00,8,10
324,0.076891,0.102306,8.00,8,10
325,0.076997,0.097185,8.00,8,10
326,0.078811,0.094296,8.00,8,10
327,0.076025,0.097647,8.00,8,10
328,0.079461,0.103151,8.00,8,10
329,0.081751,0.101739,8.00,8,10
330,0.081358,0.098140,8.00,8,10
331,0.078062,0.096551,8.00,8,10
332,0.081649,0.095044,8.00,8,10
333,0.082633,0.094305,8.00,8,10
334,0.080934,0.097982,8.00,8,10
335,0.080859,0.099600,8.00,8,10
336,0.077123,0.097803,8.00,8,10
337,0.080117,0.107740,8.00,8,10
338,0.086329,0.107896,8.00,8,10
339,0.117046,0.140427,8.00,8,10
340,0.124247,0.144939,8.00,8,10
341,0.117839,0.140056,8.00,8,10
342,0.120081,0.141507,8.00,8,10
343,0.123329,0.148665,8.00,8,10
344,0.121866,0.145371,8.00,8,10
345,0.121628,0.147162,8.10,9,10
346,0.114740,0.150641,8.00,8,10
347,0.119872,0.146157,8.00,8,10
348,0.122466,0.147717,8.00,8,10
349,0.121265,0.148897,8.00,8,10
350,0.122534,0.150200,8.00,8,10
351,0.114173,0.137730,8.00,8,10
352,0.124855,0.147095,8.00,8,10
353,0.125502,0.152696,8.00,8,10
354,0.126191,0.158695,8.00,8,10
355,0.107512,0.141961,8.00,8,10
356,0.105486,0.133412,8.00,8,10
357,0.111665,0.134255,8.00,8,10
358,0.095140,0.129177,8.00,8,10
359,0.106115,0.131642,8.00,8,10
360,0.107315,0.130793,8.00,8,10
361,0.102693,0.124988,8.00,8,10
362,0.130072,0.152642,8.00,8,10
363,0.133134,0.147654,8.00,8,10
364,0.128976,0.148089,8.00,8,10
365,0.134592,0.151682,8.00,8,10
366,0.123024,0.147320,8.00,8,10
367,0.132496,0.163189,8.00,8,10
368,0.136315,0.150891,8.00,8,10
369,0.126341,0.146487,8.00,8,10
370,0.130077,0.163245,8.00,8,10
371,0.138771,0.160960,8.00,8,10
372,0.133149,0.153709,8.00,8,10
373,0.134859,0.153484,8.00,8,10
374,0.139031,0.161820,8.00,8,10
375,0.131322,0.157292,8.10,9,10
376,0.136780,0.162618,8.00,8,10
377,0.127652,0.152380,8.00,8,10
378,0.128397,0.165665,8.00,8,10
379,0.138665,0.168764,8.00,8,10
380,0.120341,0.154827,8.00,8,10
381,0.087011,0.106089,8.00,8,10
382,0.092717,0.121097,8.00,8,10
383,0.094327,0.112026,8.00,8,10
384,0.123528,0.154613,8.00,8,10
385,0.116949,0.155360,8.20,9,10
386,0.128880,0.158383,8.00,8,10
387,0.150959,0.181350,8.10,9,10
388,0.138479,0.160646,8.00,8,10
389,0.150954,0.167202,8.10,9,10
390,0.133857,0.161640,8.00,8,10
391,0.113646,0.125294,8.00,8,10
392,0.122285,0.132742,8.00,8,10
393,0.136001,0.156796,8.00,8,10
394,0.161622,0.165819,8.10,9,10
395,0.158009,0.168054,8.00,8,10
396,0.142429,0.173861,8.20,9,10
397,0.142482,0.159533,8.10,9,10
398,0.152881,0.181167,8.20,9,10
399,0.155113,0.165413,8.00,8,10
400,0.139465,0.174724,8.10,9,10
401,0.160456,0.170710,8.00,8,10
402,0.153062,0.186081,8.10,9,10
403,0.160179,0.168869,8.00,8,10
404,0.165177,0.173643,8.10,9,10
405,0.161293,0.171904,8.10,9,10
406,0.142122,0.175739,8.10,9,10
407,0.160152,0.176896,8.10,9,10
408,0.160760,0.181233,8.20,9,10
409,0.141974,0.169757,8.00,8,10
410,0.155434,0.175408,8.10,9,10
411,0.166448,0.176906,8.00,8,10
412,0.165816,0.179923,8.00,8,10
413,0.166052,0.177680,8.10,9,10
414,0.165653,0.178758,8.10,9,10
415,0.165706,0.184496,8.00,8,10
416,0.162262,0.184232,8.10,9,10
417,0.148621,0.191913,8.10,9,10
418,0.162944,0.184424,8.40,9,10
419,0.150728,0.170667,8.00,8,10
420,0.154170,0.203854,8.20,9,10
421,0.145390,0.185826,8.10,9,10
422,0.152195,0.181659,8.20,9,10
423,0.159395,0.186959,8.40,9,10
424,0.144762,0.167368,8.20,9,10
425,0.156378,0.179462,8.20,9,10
426,0.151058,0.176911,8.20,9,10
427,0.157411,0.185825,8.30,9,10
428,0.140143,0.163214,8.30,9,10
429,0.137860,0.159730,8.20,9,10
430,0.119683,0.146679,8.20,9,10
431,0.144206,0.169088,8.00,8,10
432,0.125771,0.155404,8.20,9,10
433,0.127709,0.153901,8.20,9,10
434,0.124532,0.154964,8.30,9,10
435,0.122997,0.160272,8.30,9,10
436,0.134454,0.151362,8.10,9,10
437,0.126660,0.144932,8.30,9,10
438,0.137085,0.164924,8.40,9,10
439,0.140358,0.155642,8.30,9,10
440,0.131152,0.166203,8.20,9,10
441,0.125598,0.151139,8.20,9,10
442,0.126190,0.170468,8.20,9,10
443,0.156760,0.184796,8.10,9,10
444,0.158622,0.185171,8.20,9,10
445,0.157420,0.178216,8.30,9,10
446,0.172534,0.195826,8.40,9,10
447,0.160595,0.188500,8.30,9,10
448,0.146527,0.199155,8.50,9,10
449,0.129897,0.157477,8.60,9,10
450,0.110219,0.125244,8.20,9,10
451,0.116020,0.137724,8.40,9,10
452,0.118610,0.136353,8.00,8,10
453,0.109231,0.137607,8.20,9,10
