Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.001366,0.001631,3.90,4,10
11,0.001426,0.001768,4.00,4,10
12,0.003099,0.017376,4.00,4,10
13,0.001734,0.002060,3.90,4,10
14,0.001828,0.002371,4.00,4,10
15,0.002076,0.002575,4.00,4,10
16,0.002239,0.002598,4.00,4,10
17,0.002233,0.002485,4.20,5,10
18,0.002328,0.002453,4.00,4,10
19,0.002650,0.003483,4.20,5,10
20,0.002766,0.002920,4.60,5,10
21,0.002924,0.003122,4.70,5,10
22,0.003038,0.003217,4.90,5,10
23,0.003212,0.003423,5.00,5,10
24,0.003328,0.003641,4.80,5,10
25,0.003541,0.003666,4.80,5,10
26,0.005812,0.024856,5.00,5,10
27,0.003872,0.004026,4.90,5,10
28,0.003979,0.004195,4.90,5,10
29,0.004152,0.004276,5.00,5,10
30,0.004345,0.004578,5.00,5,10
31,0.004465,0.004659,5.00,5,10
32,0.004697,0.004830,5.00,5,10
33,0.004808,0.004969,5.00,5,10
34,0.004952,0.005427,5.10,6,10
35,0.005005,0.005115,5.00,5,10
36,0.005202,0.005306,5.00,5,10
37,0.005370,0.005660,5.00,5,10
38,0.005589,0.006003,5.10,6,10
39,0.005801,0.006190,5.10,6,10
40,0.006084,0.006723,5.10,6,10
41,0.006844,0.007765,5.20,6,10
42,0.006741,0.008073,5.30,6,10
43,0.006697,0.007139,5.70,6,10
44,0.007016,0.007772,5.60,6,10
45,0.007168,0.008039,5.50,6,10
46,0.007555,0.008647,5.50,6,10
47,0.009868,0.028580,5.60,6,10
48,0.007928,0.009733,5.60,6,10
49,0.008256,0.009299,5.80,6,10
50,0.007870,0.008419,5.90,6,10
51,0.008611,0.010281,5.80,6,10
52,0.008701,0.009607,6.00,6,10
53,0.008586,0.009037,5.90,6,10
54,0.009427,0.010829,5.80,6,10
55,0.009396,0.010822,5.90,6,10
56,0.009124,0.009606,5.80,6,10
57,0.009241,0.009449,6.00,6,10
58,0.009370,0.009748,6.00,6,10
59,0.012363,0.038580,5.80,6,10
60,0.009529,0.010044,5.90,6,10
61,0.012168,0.032449,6.00,6,10
62,0.009978,0.010698,6.00,6,10
63,0.010053,0.010522,6.00,6,10
64,0.012281,0.031072,6.00,6,10
65,0.010488,0.010879,6.00,6,10
66,0.013045,0.033359,6.00,6,10
67,0.010778,0.011115,6.00,6,10
68,0.011113,0.011417,6.00,6,10
69,0.011603,0.012971,6.00,6,10
70,0.011797,0.012912,5.90,6,10
71,0.012114,0.012709,6.00,6,10
72,0.015281,0.042566,6.00,6,10
73,0.012155,0.013137,6.00,6,10
74,0.012004,0.012317,6.00,6,10
75,0.015069,0.035809,6.00,6,10
76,0.014739,0.032451,6.00,6,10
77,0.016322,0.042849,6.00,6,10
78,0.015370,0.032763,6.00,6,10
79,0.013840,0.015298,6.00,6,10
80,0.013236,0.013956,6.00,6,10
81,0.015495,0.032974,6.10,7,10
82,0.016287,0.038467,6.00,6,10
83,0.014216,0.015267,6.10,7,10
84,0.014490,0.016096,6.20,7,10
85,0.014556,0.016025,6.20,7,10
86,0.015225,0.017119,6.20,7,10
87,0.018574,0.040643,6.30,7,10
88,0.015299,0.016811,6.30,7,10
89,0.017708,0.036506,6.20,7,10
90,0.017616,0.039039,6.20,7,10
91,0.018160,0.037655,6.30,7,10
92,0.015903,0.017091,6.30,7,10
93,0.016271,0.018495,6.50,7,10
94,0.016624,0.022868,6.20,7,10
95,0.018566,0.037198,6.30,7,10
96,0.016587,0.017679,6.40,7,10
97,0.018483,0.035688,6.30,7,10
98,0.017398,0.020582,6.40,7,10
99,0.017942,0.019017,6.50,7,10
100,0.017374,0.019115,6.60,7,10
