Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.001883,0.002315,3.80,4,10
11,0.002010,0.002108,3.90,4,10
12,0.002232,0.002397,4.00,4,10
13,0.002364,0.002591,4.00,4,10
14,0.002709,0.002871,4.00,4,10
15,0.002908,0.002989,4.00,4,10
16,0.003156,0.003474,4.00,4,10
17,0.003345,0.003470,4.10,5,10
18,0.003556,0.003757,4.30,5,10
19,0.003836,0.004018,4.40,5,10
20,0.004077,0.004300,4.40,5,10
21,0.004412,0.004554,4.80,5,10
22,0.004612,0.004915,4.70,5,10
23,0.004785,0.004957,4.90,5,10
24,0.005195,0.005581,5.00,5,10
25,0.005339,0.005548,5.00,5,10
26,0.008399,0.033462,4.90,5,10
27,0.005796,0.006146,5.00,5,10
28,0.005114,0.006095,5.00,5,10
29,0.005475,0.006600,5.00,5,10
30,0.006379,0.006953,5.00,5,10
31,0.006512,0.007023,5.00,5,10
32,0.007104,0.007439,5.00,5,10
33,0.007200,0.007844,5.00,5,10
34,0.007503,0.007730,5.00,5,10
35,0.007469,0.007862,5.00,5,10
36,0.007979,0.008199,5.00,5,10
37,0.008066,0.008515,5.00,5,10
38,0.008615,0.008890,5.00,5,10
39,0.008676,0.009050,5.10,6,10
40,0.009117,0.009902,5.60,6,10
41,0.009109,0.009657,5.20,6,10
42,0.011630,0.040798,5.50,6,10
43,0.006939,0.007274,5.50,6,10
44,0.007165,0.007481,5.60,6,10
45,0.007423,0.007704,5.70,6,10
46,0.007588,0.008029,5.70,6,10
47,0.007889,0.008455,5.60,6,10
48,0.007819,0.008189,5.50,6,10
49,0.008189,0.008484,5.90,6,10
50,0.008258,0.008587,5.60,6,10
51,0.011516,0.029921,5.90,6,10
52,0.012537,0.013032,5.80,6,10
53,0.015596,0.040997,6.00,6,10
54,0.013109,0.013320,6.00,6,10
55,0.016488,0.044339,6.00,6,10
56,0.013632,0.013998,5.90,6,10
57,0.014068,0.014416,6.00,6,10
58,0.014343,0.014625,6.00,6,10
59,0.014567,0.014933,6.00,6,10
60,0.014716,0.015088,6.00,6,10
61,0.015132,0.015381,6.00,6,10
62,0.015221,0.015731,6.00,6,10
63,0.015288,0.015603,6.00,6,10
64,0.015652,0.016143,6.00,6,10
65,0.018825,0.044627,6.00,6,10
66,0.016342,0.016626,6.00,6,10
67,0.016647,0.017067,6.00,6,10
68,0.016800,0.017119,6.00,6,10
69,0.017053,0.017282,6.00,6,10
70,0.017349,0.017596,6.00,6,10
71,0.017703,0.018346,6.00,6,10
72,0.017984,0.018485,6.00,6,10
73,0.020929,0.044645,6.00,6,10
74,0.018487,0.019276,6.00,6,10
75,0.022119,0.054184,6.10,7,10
76,0.021768,0.047937,6.00,6,10
77,0.019215,0.019687,6.00,6,10
78,0.019565,0.020098,6.00,6,10
79,0.022617,0.049834,6.00,6,10
80,0.022729,0.048216,6.00,6,10
81,0.023501,0.051770,6.00,6,10
82,0.020678,0.021013,6.10,7,10
83,0.020998,0.021762,6.30,7,10
84,0.024306,0.054093,6.20,7,10
85,0.024559,0.051254,6.20,7,10
86,0.021881,0.023871,6.20,7,10
87,0.021923,0.022459,6.10,7,10
88,0.022517,0.023196,6.20,7,10
89,0.022775,0.023898,6.30,7,10
90,0.023187,0.024280,6.40,7,10
91,0.027316,0.061050,6.20,7,10
92,0.023823,0.024558,6.30,7,10
93,0.024223,0.025431,6.30,7,10
94,0.023686,0.026221,6.10,7,10
95,0.024981,0.055782,6.50,7,10
96,0.025018,0.026651,6.30,7,10
97,0.025053,0.026856,6.40,7,10
98,0.025499,0.027121,6.50,7,10
99,0.025637,0.026555,6.30,7,10
100,0.028718,0.054380,6.30,7,10
101,0.026586,0.027638,6.60,7,10
102,0.027311,0.028259,6.70,7,10
103,0.027616,0.028830,6.60,7,10
104,0.027565,0.029132,6.70,7,10
105,0.033292,0.073379,6.70,7,10
106,0.032460,0.069057,6.70,7,10
107,0.029061,0.029881,6.80,7,10
108,0.031921,0.057902,6.70,7,10
