Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.001891,0.002284,3.00,4,10
11,0.002115,0.002394,2.90,4,10
12,0.002315,0.002443,3.30,4,10
13,0.002139,0.002569,3.30,4,10
14,0.002800,0.003026,3.10,4,10
15,0.003095,0.003362,3.20,4,10
16,0.003352,0.003671,3.20,4,10
17,0.003554,0.003882,3.30,4,10
18,0.003981,0.004445,3.10,4,10
19,0.004250,0.004576,3.20,4,10
20,0.004504,0.004940,3.40,4,10
21,0.004617,0.005221,3.40,4,10
22,0.004003,0.006050,2.90,3,10
23,0.004228,0.005868,3.50,4,10
24,0.005672,0.006349,3.20,4,10
25,0.005278,0.006288,3.00,4,10
26,0.008793,0.041023,3.50,4,10
27,0.006815,0.007675,3.10,4,10
28,0.006234,0.008075,3.70,4,10
29,0.006227,0.007548,3.50,4,10
30,0.007768,0.009012,3.30,4,10
31,0.007939,0.009455,3.50,4,10
32,0.007686,0.010497,3.30,4,10
33,0.006603,0.007875,3.30,4,10
34,0.007373,0.010140,3.70,4,10
35,0.009171,0.011715,3.40,4,10
36,0.009386,0.012249,3.30,4,10
37,0.011704,0.040155,3.60,4,10
38,0.011959,0.013823,3.30,4,10
39,0.008044,0.010265,3.40,4,10
40,0.014947,0.045265,3.20,4,10
41,0.012566,0.015411,3.20,4,10
42,0.012506,0.015815,3.40,4,10
43,0.016932,0.046234,3.40,4,10
44,0.012930,0.014471,3.60,4,10
45,0.012091,0.015555,3.90,4,10
46,0.014940,0.036910,3.40,4,10
47,0.014411,0.017303,3.70,4,10
48,0.017982,0.046523,3.40,4,10
49,0.016911,0.020011,3.40,4,10
50,0.015760,0.020563,3.50,4,10
51,0.012956,0.019169,3.40,4,10
52,0.021532,0.051603,3.30,4,10
53,0.017035,0.021673,3.70,4,10
54,0.019486,0.024054,3.40,4,10
55,0.015577,0.023310,3.60,4,10
56,0.017313,0.026262,3.70,4,10
57,0.017911,0.023427,3.40,4,10
58,0.017758,0.027295,3.30,4,10
59,0.021513,0.052084,3.50,4,10
60,0.021442,0.027050,3.60,4,10
61,0.018966,0.027193,3.70,4,10
62,0.023548,0.062762,3.50,4,10
63,0.020530,0.028372,3.70,4,10
64,0.022146,0.031444,3.70,4,10
65,0.025166,0.061262,3.70,4,10
66,0.024631,0.034596,3.60,4,10
67,0.024350,0.028711,3.40,4,10
68,0.027475,0.057072,3.70,4,10
69,0.021019,0.029752,3.70,4,10
70,0.027082,0.038143,3.40,4,10
71,0.025801,0.051743,3.70,4,10
72,0.027978,0.039002,3.60,4,10
73,0.027603,0.059995,3.90,4,10
74,0.034260,0.055428,3.60,4,10
75,0.034844,0.061455,3.50,4,10
76,0.029044,0.046442,3.30,4,10
77,0.027311,0.040690,3.50,4,10
78,0.030300,0.059357,3.70,4,10
79,0.021565,0.033851,3.70,4,10
80,0.035349,0.054087,3.50,4,10
81,0.039820,0.062440,3.50,4,10
82,0.028565,0.048991,3.60,4,10
83,0.029479,0.042124,3.60,4,10
84,0.033269,0.073369,3.60,4,10
85,0.039548,0.047705,3.80,4,10
86,0.038763,0.064506,3.60,4,10
87,0.044359,0.081368,3.60,4,10
88,0.039185,0.053278,3.50,4,10
89,0.041233,0.054484,3.40,4,10
90,0.036813,0.084344,3.80,4,10
91,0.039480,0.058268,3.60,4,10
