Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.018569,0.022960,3.0950,4.1429,1.203734,1.526316
11,0.016663,0.022207,3.2399,4.1667,1.225465,1.350000
12,0.021850,0.024641,3.0845,3.7143,1.204960,1.400000
13,0.023680,0.041130,3.1821,3.5714,1.146632,1.350000
14,0.025879,0.030532,3.3019,4.1667,1.203148,1.368421
15,0.026162,0.032810,3.1452,3.8571,1.156865,1.285714
16,0.061919,0.110077,3.2125,4.0000,1.135182,1.294118
17,0.055949,0.101016,3.1308,3.5714,1.169257,1.470588
18,0.061837,0.087722,3.1532,4.0000,1.172924,1.315789
19,0.064491,0.105249,3.4496,4.0000,1.207410,1.304348
20,0.060418,0.087146,3.7143,4.2857,1.221015,1.375000
21,0.065168,0.085291,3.4685,4.1250,1.194317,1.375000
22,0.069730,0.110900,3.6357,4.1429,1.196165,1.307692
23,0.071404,0.085374,3.6167,4.3750,1.240822,1.434783
24,0.090381,0.119865,3.7004,4.2500,1.230664,1.416667
25,0.069459,0.103622,3.7879,4.7143,1.235042,1.409091
26,0.082531,0.106300,3.3647,4.0000,1.139867,1.240000
27,0.094121,0.125063,3.7028,4.8571,1.262302,1.428571
28,0.105554,0.164045,3.8099,4.7778,1.276963,1.791667
29,0.106147,0.149406,3.6984,4.7143,1.209574,1.333333
30,0.110902,0.135836,3.7730,4.2857,1.168583,1.291667
31,0.098121,0.123841,3.7861,4.6250,N/A,N/A
32,0.193028,0.262267,3.8365,4.1429,N/A,N/A
33,0.189587,0.347502,3.6373,4.6250,N/A,N/A
34,0.200383,0.309303,4.1887,5.1429,N/A,N/A
35,0.200387,0.271846,4.1000,4.7500,N/A,N/A
36,0.220161,0.333407,3.7250,4.7500,N/A,N/A
37,0.224506,0.344000,4.0871,4.8571,N/A,N/A
38,0.214219,0.289047,4.1190,4.8571,N/A,N/A
39,0.244387,0.400370,4.1522,5.0000,N/A,N/A
40,0.233333,0.305361,4.0108,5.2857,N/A,N/A
41,0.255417,0.387852,3.8694,4.5000,N/A,N/A
42,0.236747,0.304515,4.2767,5.2857,N/A,N/A
43,0.263362,0.333614,4.3161,5.2857,N/A,N/A
44,0.284715,0.397314,4.1347,5.3750,N/A,N/A
45,0.261028,0.418599,4.1025,5.1250,N/A,N/A
46,0.271188,0.369017,4.1264,4.6250,N/A,N/A
47,0.277001,0.408348,3.9500,4.5000,N/A,N/A
48,0.299343,0.392631,4.4736,5.6250,N/A,N/A
49,0.310086,0.584580,4.3097,4.8750,N/A,N/A
50,0.279730,0.461822,4.1040,5.4286,N/A,N/A
51,0.288490,0.377989,4.4371,5.2500,N/A,N/A
52,0.346704,0.525220,4.3319,5.6250,N/A,N/A
53,0.302892,0.378068,4.4000,5.0000,N/A,N/A
54,0.318150,0.395956,4.3444,5.1111,N/A,N/A
55,0.374280,0.637381,4.4926,6.0000,N/A,N/A
56,0.331411,0.397564,4.4208,5.0000,N/A,N/A
57,0.346383,0.540732,4.4865,5.1429,N/A,N/A
58,0.330891,0.404741,4.0968,4.8571,N/A,N/A
59,0.344452,0.516313,4.4069,5.0000,N/A,N/A
60,0.396750,0.490501,4.0633,4.6667,N/A,N/A
61,0.393049,0.654955,4.6899,6.3333,N/A,N/A
62,0.377914,0.454795,4.5514,6.0000,N/A,N/A
63,0.392999,0.453872,4.5014,5.5000,N/A,N/A
64,0.622009,0.998268,4.4056,5.2222,N/A,N/A
65,0.602131,0.965777,4.6806,5.3750,N/A,N/A
66,0.601055,0.936481,4.5473,5.4286,N/A,N/A
67,0.619979,0.829050,4.3717,5.8750,N/A,N/A
68,0.786046,1.147479,4.5740,5.3750,N/A,N/A
69,0.716865,1.673666,4.5047,5.3750,N/A,N/A
70,0.830285,1.449599,4.4514,5.3750,N/A,N/A
71,0.746811,1.602311,4.0550,4.7500,N/A,N/A
72,0.677003,1.006876,4.0522,5.0000,N/A,N/A
73,0.692125,0.965051,4.4597,5.2222,N/A,N/A
74,0.694072,1.089183,4.6856,5.7500,N/A,N/A
75,0.942688,1.442461,4.5486,5.2222,N/A,N/A
76,0.675616,1.014416,4.5903,5.5000,N/A,N/A
77,0.738686,1.131518,4.4708,5.6250,N/A,N/A
78,0.804489,1.271243,4.3222,6.0000,N/A,N/A
79,0.827115,1.350617,4.6319,6.1250,N/A,N/A
80,0.772503,1.069667,4.7014,5.1250,N/A,N/A
81,0.807888,1.117379,4.3583,5.6250,N/A,N/A
82,0.752628,0.891018,4.3946,5.5714,N/A,N/A
83,0.843558,1.672940,4.6194,5.4444,N/A,N/A
84,0.885294,1.578962,4.7444,5.3750,N/A,N/A
85,0.916309,1.365215,4.4406,6.0000,N/A,N/A
86,0.797230,1.118827,4.3847,6.0000,N/A,N/A
87,1.066447,1.505697,4.4931,5.0000,N/A,N/A
88,1.006799,1.610752,4.3719,5.0000,N/A,N/A
89,0.953852,1.408214,4.5742,5.4444,N/A,N/A
90,0.992794,1.415388,4.9639,5.7500,N/A,N/A
91,1.033525,1.475431,4.3475,4.8750,N/A,N/A
92,0.952505,1.338109,4.7014,6.0000,N/A,N/A
93,0.933517,1.144395,4.3536,4.8889,N/A,N/A
94,1.102392,1.622867,4.7156,6.2500,N/A,N/A
95,1.001937,1.572406,5.0700,6.2500,N/A,N/A
96,0.950718,1.374386,4.7661,5.2500,N/A,N/A
97,1.018995,1.512993,4.5375,5.3333,N/A,N/A
98,1.027694,1.313775,4.5117,5.2222,N/A,N/A
99,1.191126,1.537766,4.8014,6.3750,N/A,N/A
100,1.146860,2.024471,4.6328,5.5556,N/A,N/A
