Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.016237,0.033495,1.7121,2.1763,1.100966,1.373356
11,0.016435,0.021775,1.6764,2.3384,1.106673,1.221622
12,0.021375,0.025441,1.8340,2.4271,1.186964,1.433260
13,0.022067,0.027149,1.6666,2.2813,1.072361,1.183724
14,0.025236,0.040168,1.8195,3.3349,1.198633,1.390735
15,0.026477,0.031603,1.8378,2.3640,1.216127,1.555999
16,0.045667,0.101752,1.8317,2.5652,1.268623,1.446646
17,0.054146,0.104885,1.5905,1.9033,1.268534,1.497025
18,0.057846,0.087809,1.8084,2.3725,1.295600,1.688485
19,0.056449,0.087378,1.7525,2.5305,1.260531,1.664679
20,0.056650,0.091631,1.9674,2.9465,1.200211,1.423546
21,0.070721,0.100305,2.0354,2.7751,1.259849,1.498037
22,0.072349,0.097988,1.9210,3.1176,1.149977,1.289329
23,0.076577,0.102658,1.8545,2.5860,1.145669,1.356598
24,0.069105,0.094356,2.1877,3.0123,1.188728,1.571916
25,0.090613,0.108517,1.7902,2.5287,1.182837,1.608406
26,0.079870,0.132329,2.1941,3.0924,1.338275,1.703062
27,0.094799,0.136214,1.7815,2.5804,1.181060,1.535153
28,0.093992,0.138174,1.9527,2.7889,1.187824,1.453300
29,0.099203,0.139057,2.1008,3.0494,1.267033,1.452920
30,0.100028,0.124936,2.0204,2.5196,1.223907,1.493783
31,0.118946,0.146275,1.7871,2.6809,1.237473,1.594948
32,0.174762,0.272404,1.7303,2.6102,1.241535,1.464382
33,0.175950,0.228101,1.9243,2.3879,1.325479,1.325479
34,0.234167,0.388441,2.1530,2.7081,N/A,N/A
35,0.190970,0.264060,1.9725,2.9010,N/A,N/A
36,0.199970,0.281022,2.0900,2.7969,N/A,N/A
37,0.227082,0.316417,2.0376,3.0079,N/A,N/A
38,0.230939,0.303853,2.0335,3.0135,N/A,N/A
39,0.200918,0.240026,2.1867,2.9043,N/A,N/A
40,0.208437,0.267012,2.2071,3.0158,N/A,N/A
41,0.220411,0.322908,2.1467,2.6411,N/A,N/A
42,0.230934,0.292023,1.9165,2.6343,N/A,N/A
43,0.238974,0.328827,1.7774,2.4194,N/A,N/A
44,0.266803,0.348988,2.1116,2.8924,N/A,N/A
45,0.255801,0.305685,1.7865,2.3460,N/A,N/A
46,0.276369,0.415777,1.9606,3.1310,N/A,N/A
47,0.240607,0.348401,2.0294,2.8902,N/A,N/A
48,0.307847,0.407946,1.9049,3.0710,N/A,N/A
49,0.302979,0.415478,2.1192,2.6123,N/A,N/A
50,0.293423,0.348525,2.1187,3.5104,N/A,N/A
51,0.283124,0.357786,1.9496,2.7632,N/A,N/A
52,0.317979,0.364042,1.9771,2.6000,N/A,N/A
53,0.319823,0.465793,1.9892,3.1693,N/A,N/A
54,0.333592,0.439661,1.9241,2.6152,N/A,N/A
55,0.318824,0.390928,1.8618,2.5191,N/A,N/A
56,0.351867,0.482792,2.1865,3.2603,N/A,N/A
57,0.368880,0.508758,1.9598,3.3761,N/A,N/A
58,0.368294,0.426094,1.9520,2.6180,N/A,N/A
59,0.401352,0.691992,1.8215,2.4247,N/A,N/A
60,0.373618,0.487093,1.9104,2.4981,N/A,N/A
61,0.394903,0.522432,2.2282,3.4636,N/A,N/A
62,0.375968,0.568445,1.9815,2.3735,N/A,N/A
63,0.377460,0.425218,2.2127,2.8955,N/A,N/A
64,0.699574,0.944739,2.0672,3.3542,N/A,N/A
65,0.761989,1.339043,1.9128,2.4773,N/A,N/A
66,0.883377,1.391986,2.1432,2.9604,N/A,N/A
67,0.748847,1.081355,1.9384,2.7230,N/A,N/A
68,0.740471,1.208873,2.1372,2.7436,N/A,N/A
69,0.889268,1.346342,1.9011,2.9210,N/A,N/A
70,0.843911,1.021090,1.9027,2.4419,N/A,N/A
71,0.749992,1.034903,2.1806,2.4891,N/A,N/A
72,0.841749,1.453867,1.8915,2.4149,N/A,N/A
73,0.779666,1.148637,2.0378,2.9202,N/A,N/A
74,0.803237,1.831655,2.1075,2.8968,N/A,N/A
75,0.738934,1.118207,2.1036,3.1720,N/A,N/A
76,0.873154,1.188425,2.2788,2.9854,N/A,N/A
77,0.761878,1.285886,1.9191,2.7118,N/A,N/A
78,0.796022,1.271787,2.0897,3.0263,N/A,N/A
79,0.856574,1.368408,2.0692,3.5652,N/A,N/A
80,0.809499,1.151806,2.2019,2.7582,N/A,N/A
81,0.863389,1.369387,1.9043,2.4292,N/A,N/A
82,0.883448,1.217195,1.7939,2.3756,N/A,N/A
83,0.954642,1.651388,1.9296,2.6076,N/A,N/A
84,0.908694,1.476544,1.9166,2.7540,N/A,N/A
85,0.805750,1.005292,1.9630,2.9213,N/A,N/A
86,0.827420,1.026068,2.2813,3.3730,N/A,N/A
87,1.089388,1.657093,1.9245,2.3860,N/A,N/A
88,0.886662,1.187690,1.7277,2.7450,N/A,N/A
89,0.984090,1.236690,1.9441,2.5101,N/A,N/A
90,1.089562,1.745053,2.2210,2.8069,N/A,N/A
91,1.078212,1.523559,1.9545,2.5371,N/A,N/A
92,1.002155,1.240874,2.2054,3.1364,N/A,N/A
93,1.011360,1.427223,2.0733,2.7658,N/A,N/A
