Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.016762,0.032318,2.3955,3.1361,1.137075,1.365714
11,0.020501,0.023684,2.5411,3.3119,1.242042,1.484599
12,0.020812,0.025657,2.5090,2.9782,1.176145,1.715289
13,0.024581,0.045187,2.6730,3.5875,1.135985,1.305341
14,0.025502,0.028926,2.5913,2.8914,1.137403,1.387021
15,0.022680,0.032554,2.4654,3.6102,1.099938,1.360228
16,0.049179,0.063968,2.8590,3.9065,1.229984,1.438320
17,0.057024,0.102183,3.0322,4.4976,1.166470,1.385779
18,0.065770,0.116763,3.2151,3.6839,1.250493,1.540655
19,0.054388,0.085611,2.9521,3.5943,1.171139,1.432209
20,0.062404,0.094678,3.0932,3.8894,1.214856,1.461230
21,0.065561,0.088133,2.9010,3.8122,1.170052,1.321474
22,0.069631,0.096130,3.2054,4.5964,1.269055,1.602414
23,0.072472,0.084640,3.1571,4.8598,1.316487,1.714126
24,0.081970,0.102568,2.9581,3.5771,1.135594,1.250227
25,0.075609,0.100487,3.2128,4.0764,1.252776,1.476635
26,0.088151,0.109135,3.0840,3.8475,1.222057,1.550057
27,0.088868,0.117435,3.3649,3.9552,1.266685,1.683139
28,0.087563,0.115817,3.0404,3.6023,1.140615,1.334636
29,0.091547,0.135715,3.3287,3.9535,1.224709,1.442870
30,0.110397,0.146635,3.3719,4.2595,1.271571,1.606712
31,0.107470,0.134955,3.5149,4.7702,1.213483,1.526203
32,0.160086,0.267672,3.2690,4.0821,1.172232,1.350648
33,0.206370,0.371636,3.4796,4.4312,1.217703,1.424988
34,0.203727,0.264368,3.4051,4.3033,N/A,N/A
35,0.225650,0.408465,3.3490,4.6967,N/A,N/A
36,0.209532,0.294949,3.5425,4.4719,N/A,N/A
37,0.210439,0.294024,3.5497,4.6951,N/A,N/A
38,0.228890,0.293844,3.5003,4.4850,N/A,N/A
39,0.217514,0.316559,3.5849,4.5623,N/A,N/A
40,0.239622,0.302497,3.3435,4.1278,N/A,N/A
41,0.210024,0.270788,3.7290,4.9261,N/A,N/A
42,0.223183,0.379812,3.1765,4.2009,N/A,N/A
43,0.229074,0.314054,3.6954,4.2974,N/A,N/A
44,0.246577,0.303195,3.2966,3.7578,N/A,N/A
45,0.255775,0.431221,3.4435,5.5378,N/A,N/A
46,0.254112,0.341533,3.6033,4.2704,N/A,N/A
47,0.258181,0.305618,3.8509,5.0594,N/A,N/A
48,0.275816,0.356788,3.7386,4.8264,N/A,N/A
49,0.257603,0.331242,3.4366,4.4493,N/A,N/A
50,0.348037,0.477731,3.5857,4.3841,N/A,N/A
51,0.316554,0.550524,3.8813,5.3098,N/A,N/A
52,0.280130,0.324085,3.7065,4.5545,N/A,N/A
53,0.340562,0.430524,3.5367,4.4463,N/A,N/A
54,0.322247,0.451032,3.6614,4.0527,N/A,N/A
55,0.325494,0.400998,3.2778,4.1324,N/A,N/A
56,0.375180,0.662389,3.6973,4.3144,N/A,N/A
57,0.314435,0.396946,3.5694,4.3770,N/A,N/A
58,0.389405,0.569548,3.9511,4.7930,N/A,N/A
59,0.344359,0.425114,3.7978,4.5595,N/A,N/A
60,0.340081,0.464291,3.5671,4.3226,N/A,N/A
61,0.395388,0.488097,3.9104,4.5430,N/A,N/A
62,0.406840,0.545518,3.7279,5.2662,N/A,N/A
63,0.421006,0.692861,3.9630,4.9307,N/A,N/A
64,0.774373,1.313631,3.6539,4.5179,N/A,N/A
65,0.617531,1.061992,3.9063,4.6499,N/A,N/A
66,0.699391,0.986953,3.6481,4.2931,N/A,N/A
67,0.699400,1.004483,3.8057,4.5491,N/A,N/A
68,0.661586,0.925920,3.7493,5.4706,N/A,N/A
69,0.646546,0.942351,3.7461,4.3904,N/A,N/A
70,0.713039,1.056106,3.9947,4.8039,N/A,N/A
71,0.654112,0.814631,3.7397,5.1063,N/A,N/A
72,0.768729,1.440199,3.9641,5.2356,N/A,N/A
73,0.751237,1.021116,4.1910,5.3329,N/A,N/A
74,0.921879,1.392781,4.1473,6.5996,N/A,N/A
75,0.833485,1.514807,3.3756,4.1316,N/A,N/A
76,0.749446,1.287268,4.2359,5.0890,N/A,N/A
77,0.877686,1.472915,3.7374,4.5212,N/A,N/A
78,0.871158,1.258194,4.2788,5.6682,N/A,N/A
79,0.795813,1.373866,4.0119,5.1522,N/A,N/A
80,1.044580,2.054690,3.9946,4.6330,N/A,N/A
81,0.930796,1.571128,4.4896,5.6123,N/A,N/A
82,0.811977,1.136639,4.1623,5.4257,N/A,N/A
83,0.841508,1.336485,3.9659,4.6923,N/A,N/A
84,0.922589,1.216132,3.8927,4.5882,N/A,N/A
85,0.920700,1.729080,3.9099,4.7718,N/A,N/A
86,0.809507,1.084260,4.1819,4.5446,N/A,N/A
87,0.908831,1.602874,4.0625,5.0116,N/A,N/A
88,1.113665,1.533967,4.1221,5.7956,N/A,N/A
89,0.924536,1.232939,3.9472,4.5441,N/A,N/A
90,1.139403,1.620814,3.9961,4.6164,N/A,N/A
91,0.920372,1.235162,4.1071,5.3134,N/A,N/A
92,0.925961,1.204636,3.9849,5.2190,N/A,N/A
93,1.030268,1.299180,4.3475,4.9864,N/A,N/A
94,1.166125,2.185943,4.6044,5.3951,N/A,N/A
95,1.015151,1.416649,3.7895,4.1652,N/A,N/A
96,1.043433,1.638646,4.1189,5.3262,N/A,N/A
97,1.272435,2.215122,4.0738,4.9698,N/A,N/A
98,1.148774,2.027226,4.2355,5.0905,N/A,N/A
99,1.065212,1.341485,3.7770,4.9176,N/A,N/A
100,1.086270,1.578486,4.1955,4.9503,N/A,N/A
