Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.017010,0.034047,3.3153,4.1429,1.286123,1.625000
11,0.018031,0.024078,3.2107,4.3333,1.182418,1.450000
12,0.018282,0.023362,3.1657,4.0000,1.226581,1.500000
13,0.021353,0.024717,3.3446,4.0000,1.183318,1.277778
14,0.025141,0.038894,3.2268,4.1667,1.243542,1.476190
15,0.023657,0.028585,3.2083,4.1667,1.136385,1.280000
16,0.041620,0.050626,3.2968,3.8571,1.224878,1.444444
17,0.053600,0.084009,3.4968,4.4286,1.205608,1.409091
18,0.064152,0.085343,3.3829,4.0000,1.242597,1.400000
19,0.062373,0.093314,3.5319,4.1429,1.234314,1.421053
20,0.051564,0.091749,3.2571,3.6250,1.175276,1.263158
21,0.064321,0.108928,3.6010,4.5714,1.207572,1.363636
22,0.065854,0.091667,3.6719,4.6667,1.251561,1.347826
23,0.080788,0.111162,3.6752,4.2500,1.221814,1.333333
24,0.080213,0.099913,3.8565,4.5714,1.211115,1.458333
25,0.076718,0.103894,3.4083,4.5714,1.178368,1.320000
26,0.083322,0.101307,3.8595,4.2857,1.228844,1.458333
27,0.078075,0.101170,4.0808,4.7500,1.261121,1.590909
28,0.088313,0.121297,3.9758,4.8571,1.186598,1.307692
29,0.079401,0.096160,4.0438,4.7143,1.234421,1.307692
30,0.080396,0.109344,3.9515,4.8571,1.270855,1.708333
31,0.090139,0.113654,3.8075,4.7500,1.256248,1.478261
32,0.190601,0.249693,4.0000,4.7500,N/A,N/A
33,0.196904,0.330911,3.8431,4.4444,N/A,N/A
34,0.211871,0.253161,3.8938,4.3750,N/A,N/A
35,0.220586,0.328397,4.1958,5.1429,N/A,N/A
36,0.208040,0.296657,4.0192,4.7143,N/A,N/A
37,0.252311,0.300487,4.0258,5.2500,N/A,N/A
38,0.234527,0.346495,3.9776,5.4286,N/A,N/A
39,0.211554,0.328821,4.0829,5.0000,N/A,N/A
40,0.216473,0.289366,3.9431,4.8750,N/A,N/A
41,0.257157,0.367713,4.2214,5.1250,N/A,N/A
42,0.251007,0.398224,4.2865,5.1429,N/A,N/A
43,0.235938,0.336674,4.2768,5.1429,N/A,N/A
44,0.317260,0.592966,4.1167,4.6250,N/A,N/A
45,0.266239,0.404586,4.1275,4.7500,N/A,N/A
46,0.268650,0.389739,4.1925,5.1250,N/A,N/A
47,0.341098,0.593399,4.5308,5.2857,N/A,N/A
48,0.273542,0.341317,4.1327,5.1250,N/A,N/A
49,0.309979,0.446628,4.1992,4.7500,N/A,N/A
50,0.309339,0.428021,4.3761,5.2857,N/A,N/A
