Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.017064,0.029529,1.9621,3.2781,1.203674,1.438970
11,0.018853,0.022809,1.9707,3.0707,1.290255,1.651646
12,0.021250,0.024305,2.2135,3.0338,1.240315,1.590435
13,0.025714,0.044285,1.8880,2.5107,1.228978,1.650574
14,0.024965,0.029545,1.6956,2.2753,1.218572,1.651093
15,0.025329,0.029701,1.8194,2.4888,1.319867,1.653139
16,0.047514,0.081636,1.7283,3.0969,1.235426,1.472456
17,0.050320,0.083322,1.8005,2.4429,1.253268,1.670258
18,0.063168,0.084982,1.9943,2.9220,1.232629,1.481480
19,0.060437,0.108687,2.0159,3.8342,1.286146,1.467894
20,0.058776,0.084347,1.8375,2.3788,1.269993,1.713725
21,0.060658,0.093048,2.1647,2.7733,1.252278,1.422471
22,0.065601,0.097741,1.7946,2.5088,1.194472,1.509723
23,0.067297,0.099939,2.0418,2.7179,1.267425,1.781170
24,0.065035,0.073085,1.9202,2.6686,1.271819,1.573995
25,0.085369,0.112901,2.0271,2.9779,1.299526,1.846501
26,0.083125,0.104377,2.0090,2.7556,1.354881,1.561302
27,0.084848,0.109456,1.9596,2.8200,1.288269,1.577357
28,0.092133,0.130192,2.1504,3.1493,1.342451,1.635519
29,0.093632,0.130122,2.1865,2.8233,1.293282,1.607648
30,0.089140,0.114238,1.9138,2.3862,1.267485,1.434932
31,0.101782,0.134960,2.0267,2.7387,1.411348,2.175061
32,0.166439,0.249948,1.8964,2.4671,1.264328,1.383342
33,0.201353,0.287340,2.0820,3.0840,N/A,N/A
34,0.222321,0.319286,1.7568,2.3837,N/A,N/A
35,0.210389,0.330792,1.9360,2.5415,N/A,N/A
36,0.212352,0.293339,1.9722,3.5415,N/A,N/A
37,0.250889,0.474691,2.1212,3.1840,N/A,N/A
38,0.234912,0.349340,2.1680,2.7205,N/A,N/A
39,0.209537,0.273494,2.0543,2.9664,N/A,N/A
40,0.241600,0.331728,2.0106,3.3906,N/A,N/A
41,0.211904,0.284885,2.2217,2.9249,N/A,N/A
42,0.248906,0.380130,2.1909,2.8586,N/A,N/A
43,0.266475,0.391026,2.0712,2.9188,N/A,N/A
44,0.290551,0.386946,2.2175,2.6675,N/A,N/A
45,0.257645,0.404594,2.0322,2.6925,N/A,N/A
46,0.265473,0.326387,1.8570,2.3469,N/A,N/A
47,0.279058,0.418024,2.0735,2.4484,N/A,N/A
48,0.277432,0.375453,1.8621,2.2540,N/A,N/A
49,0.328180,0.553681,2.0990,3.1329,N/A,N/A
50,0.283433,0.425298,2.0966,2.9098,N/A,N/A
51,0.274254,0.358508,2.0052,2.5165,N/A,N/A
52,0.307566,0.393008,1.9610,2.8714,N/A,N/A
53,0.295097,0.437961,2.2525,3.0423,N/A,N/A
54,0.296799,0.367636,1.9333,3.1294,N/A,N/A
55,0.337339,0.455427,2.1212,2.8472,N/A,N/A
56,0.344989,0.443624,2.1045,3.1233,N/A,N/A
57,0.331748,0.460763,1.9757,2.6380,N/A,N/A
58,0.332874,0.457525,2.1128,2.6500,N/A,N/A
59,0.393894,0.460473,2.0082,2.5460,N/A,N/A
60,0.381587,0.482144,2.0034,2.8613,N/A,N/A
61,0.429498,0.699667,1.8682,2.6389,N/A,N/A
62,0.394799,0.542583,2.3483,2.9291,N/A,N/A
63,0.427788,0.718797,2.2398,3.2742,N/A,N/A
64,0.663625,1.212662,1.9938,3.2012,N/A,N/A
65,0.670774,0.824984,2.0327,3.1137,N/A,N/A
66,0.736604,0.933771,2.2663,2.8866,N/A,N/A
67,0.889918,1.352905,2.3720,3.8285,N/A,N/A
68,0.839054,1.793355,2.0967,3.8146,N/A,N/A
69,0.748483,1.032637,1.8696,2.4532,N/A,N/A
70,0.937182,1.403687,2.3241,3.2066,N/A,N/A
71,0.717431,1.004171,2.4602,2.8860,N/A,N/A
72,0.793108,1.026931,1.9581,2.8228,N/A,N/A
73,0.920438,1.468861,2.3559,3.3391,N/A,N/A
74,0.786757,1.321461,2.0463,2.9114,N/A,N/A
75,1.048187,1.686488,2.1228,2.8202,N/A,N/A
76,0.998943,1.388138,2.3865,2.9942,N/A,N/A
77,0.994878,1.253292,2.0423,3.3127,N/A,N/A
78,0.912260,1.187414,2.3256,2.9412,N/A,N/A
79,1.116958,1.990540,2.3665,3.2597,N/A,N/A
80,1.033987,1.387972,2.4996,2.9688,N/A,N/A
81,0.959086,1.964185,2.5033,3.4731,N/A,N/A
82,0.811741,1.107800,2.1579,2.9114,N/A,N/A
83,1.069755,1.592601,2.2562,3.6942,N/A,N/A
84,0.789396,1.215381,2.2743,2.9397,N/A,N/A
85,0.916605,1.905889,2.1047,3.0406,N/A,N/A
86,0.880137,1.179485,2.1607,2.5930,N/A,N/A
87,0.936402,1.358390,2.3276,2.9507,N/A,N/A
88,1.060604,1.320099,2.0442,2.9012,N/A,N/A
