Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.017166,0.027907,2.5372,3.0993,1.368812,1.559049
11,0.018470,0.021815,2.6113,3.1956,1.174985,1.377327
12,0.019244,0.024530,2.7523,3.7676,1.274171,1.613368
13,0.018459,0.024588,2.6669,3.4563,1.175936,1.356112
14,0.024805,0.038152,2.5881,3.0850,1.207483,1.382026
15,0.026180,0.029580,3.0696,4.0328,1.283730,1.589454
16,0.041975,0.056785,2.8567,3.4738,1.188146,1.473966
17,0.044602,0.080185,2.8088,3.5025,1.182686,1.412676
18,0.051988,0.070449,3.0053,3.6536,1.300411,1.599961
19,0.051808,0.105617,3.1042,3.7362,1.199933,1.476634
20,0.062203,0.088529,2.7333,3.7492,1.195159,1.522695
21,0.066990,0.105946,3.1405,3.7968,1.137052,1.330699
22,0.071099,0.093698,3.3397,4.0026,1.279132,1.495007
23,0.077821,0.125311,3.2453,3.9678,1.314228,1.840609
24,0.074299,0.100649,3.4476,3.9454,1.269120,1.416625
25,0.089388,0.114975,3.0759,4.3504,1.278403,1.415222
26,0.087034,0.121600,2.9209,3.6443,1.317146,1.539522
27,0.084461,0.103423,3.5298,5.1839,1.358201,1.589700
28,0.084440,0.132099,3.4089,4.2128,1.298890,1.555871
29,0.093223,0.110944,3.3271,4.2719,1.218117,1.498083
30,0.100934,0.140560,3.5836,4.4082,1.308573,1.402066
31,0.106293,0.149435,3.5664,4.6675,1.324647,1.527776
32,0.173953,0.328196,3.4129,4.1355,N/A,N/A
33,0.211144,0.320116,3.2831,4.3267,N/A,N/A
34,0.210901,0.327839,3.4037,4.1293,N/A,N/A
35,0.227983,0.319118,3.3279,4.2397,N/A,N/A
36,0.198423,0.311573,3.7419,4.3919,N/A,N/A
37,0.187135,0.271733,3.5538,4.5224,N/A,N/A
38,0.215414,0.275898,3.4134,3.9944,N/A,N/A
39,0.217824,0.365530,3.7918,4.7743,N/A,N/A
40,0.239979,0.366855,3.7313,4.5561,N/A,N/A
41,0.245061,0.394990,3.8013,4.6459,N/A,N/A
42,0.248074,0.319521,3.3355,3.7993,N/A,N/A
43,0.252062,0.498858,3.8768,4.4418,N/A,N/A
44,0.276345,0.377613,4.0048,4.9148,N/A,N/A
45,0.271678,0.396937,3.7252,4.5017,N/A,N/A
46,0.280002,0.388635,3.4664,4.0242,N/A,N/A
47,0.268197,0.405340,4.0067,5.0341,N/A,N/A
48,0.287586,0.424867,3.5097,4.3465,N/A,N/A
49,0.269772,0.350966,3.8990,4.9168,N/A,N/A
50,0.327721,0.548053,4.0878,4.7844,N/A,N/A
51,0.262446,0.334615,3.6774,4.5673,N/A,N/A
52,0.283252,0.378114,3.9435,4.9392,N/A,N/A
53,0.375972,0.689571,3.9225,5.0950,N/A,N/A
54,0.365545,0.715186,3.7020,4.5737,N/A,N/A
55,0.398877,0.476710,3.8787,5.3035,N/A,N/A
56,0.322145,0.378468,3.7656,4.9664,N/A,N/A
57,0.332909,0.457751,4.0019,4.2309,N/A,N/A
58,0.317050,0.378917,3.8148,4.5443,N/A,N/A
59,0.338804,0.511861,4.4698,5.4990,N/A,N/A
60,0.367850,0.439049,4.0638,4.8519,N/A,N/A
61,0.391132,0.538999,3.7752,4.4341,N/A,N/A
62,0.358201,0.456246,3.8802,4.1620,N/A,N/A
63,0.374623,0.670986,4.0889,5.0149,N/A,N/A
64,0.751215,1.321225,3.9413,4.5211,N/A,N/A
65,0.753726,1.236273,4.3208,5.1747,N/A,N/A
66,0.931557,1.410607,4.1575,5.0988,N/A,N/A
67,0.850978,1.303619,3.9943,4.8916,N/A,N/A
68,0.726148,1.079939,4.1498,5.6663,N/A,N/A
69,0.767336,0.952349,4.1650,5.0273,N/A,N/A
70,0.821550,1.068516,4.2207,5.1546,N/A,N/A
71,0.805728,1.049320,4.1717,4.7801,N/A,N/A
72,0.808964,1.083351,4.0458,4.5560,N/A,N/A
73,0.897976,1.362154,4.1847,5.5050,N/A,N/A
74,0.775190,1.012238,4.5975,5.3025,N/A,N/A
75,0.841754,1.092495,3.9413,4.6255,N/A,N/A
76,0.879476,1.667701,4.0212,5.3875,N/A,N/A
77,0.936425,1.539246,4.1215,4.6874,N/A,N/A
78,0.843668,0.999127,4.2771,5.4858,N/A,N/A
79,0.771374,1.146962,4.2167,5.2423,N/A,N/A
80,0.771215,1.123649,4.1439,5.1840,N/A,N/A
81,0.964899,1.390082,3.8846,4.6466,N/A,N/A
82,0.786860,1.011433,4.2812,4.7934,N/A,N/A
83,1.045258,1.469303,4.0803,4.8492,N/A,N/A
84,0.902063,1.201233,4.2636,4.5578,N/A,N/A
