Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.016170,0.032090,2.4613,3.1429,1.080752,1.250000
11,0.018023,0.022746,2.3298,3.1429,1.064706,1.294118
12,0.019539,0.024310,2.4464,2.8571,1.122869,1.416667
13,0.025266,0.045581,2.3250,3.5714,1.147044,1.562500
14,0.025816,0.032832,2.4270,3.0000,1.108310,1.285714
15,0.030333,0.036272,2.5804,4.1429,1.162500,1.611111
16,0.046554,0.078634,2.6929,3.8571,1.059447,1.238095
17,0.049943,0.093208,2.4349,3.2857,1.083371,1.352941
18,0.051202,0.063002,2.4440,3.3750,1.086401,1.352941
19,0.066410,0.118831,2.2889,3.2857,1.070857,1.222222
20,0.067775,0.101640,2.4224,3.4286,1.144768,1.437500
21,0.077661,0.116701,2.5651,3.4286,0.862588,1.263158
22,0.076282,0.135868,2.7060,3.4286,1.024494,1.352941
23,0.071245,0.111402,2.5889,3.5000,1.080118,1.272727
24,0.094803,0.133947,2.3353,3.5714,N/A,N/A
25,0.092541,0.158192,2.6962,3.5000,N/A,N/A
26,0.092963,0.155894,2.7278,3.3333,N/A,N/A
27,0.100277,0.168299,2.5683,3.2500,N/A,N/A
28,0.134316,0.209938,2.4394,3.6250,N/A,N/A
29,0.150842,0.225989,2.4226,3.1429,N/A,N/A
30,0.157621,0.248060,2.4077,3.2857,N/A,N/A
31,0.154327,0.266910,2.3798,3.2857,N/A,N/A
32,0.241898,0.486530,2.1333,3.3750,N/A,N/A
33,0.220691,0.355357,2.4369,3.2857,N/A,N/A
34,0.176181,0.340748,2.4536,3.2500,N/A,N/A
35,0.313027,0.533794,2.6790,3.2857,N/A,N/A
36,0.296371,0.467690,2.7554,3.7500,N/A,N/A
37,0.262639,0.419173,2.7028,3.4286,N/A,N/A
38,0.262171,0.446234,2.5806,3.0000,N/A,N/A
39,0.388871,0.634181,2.8377,3.4286,N/A,N/A
40,0.308942,0.496756,3.0331,3.8750,N/A,N/A
41,0.401200,0.538110,2.6167,3.0000,N/A,N/A
42,0.371027,0.595056,2.4601,3.2857,N/A,N/A
43,0.337597,0.644731,2.6476,3.2500,N/A,N/A
44,0.359443,0.651354,2.9486,3.4444,N/A,N/A
45,0.469169,0.770009,2.4750,3.5556,N/A,N/A
46,0.494499,0.741522,2.5786,3.1250,N/A,N/A
47,0.637428,0.800795,2.3777,2.8571,N/A,N/A
48,0.410988,0.882099,2.8056,3.5000,N/A,N/A
49,0.505863,0.874377,2.7950,3.3750,N/A,N/A
50,0.490955,0.970554,2.6764,3.1250,N/A,N/A
51,0.640909,1.000332,2.6431,3.0000,N/A,N/A
52,0.705589,1.044048,2.5079,3.2500,N/A,N/A
53,0.615620,1.083273,2.6767,3.1000,N/A,N/A
54,0.820119,1.175789,2.4889,3.2500,N/A,N/A
55,0.695847,1.221788,2.6083,3.2500,N/A,N/A
56,0.627305,1.299833,2.6524,3.3750,N/A,N/A
57,0.882949,1.400036,2.5469,3.2500,N/A,N/A
58,0.816052,1.428745,2.5117,3.2500,N/A,N/A
59,0.881003,1.382361,2.6875,3.7500,N/A,N/A
60,0.923157,1.496155,2.6319,3.2857,N/A,N/A
61,0.747629,1.522276,2.6689,4.0000,N/A,N/A
62,0.945302,1.269057,2.5153,3.1250,N/A,N/A
63,0.883152,1.554010,2.7847,3.7500,N/A,N/A
64,1.004425,1.792936,2.8792,3.5000,N/A,N/A
65,1.537895,2.213236,2.7431,3.4444,N/A,N/A
66,1.141046,2.011576,2.5153,3.3750,N/A,N/A
67,1.650844,2.370144,2.2719,2.6667,N/A,N/A
68,1.387555,2.679741,2.7497,3.3333,N/A,N/A
69,1.148193,2.195346,2.6336,3.2500,N/A,N/A
70,1.546593,2.440237,2.4731,3.2500,N/A,N/A
71,1.560059,2.600668,2.6908,3.2500,N/A,N/A
72,1.663955,2.527978,2.5667,3.2500,N/A,N/A
73,0.974159,2.631599,2.7837,3.3750,N/A,N/A
74,1.776961,3.128015,2.4506,3.0000,N/A,N/A
75,1.599191,2.873196,2.5731,3.1250,N/A,N/A
76,2.018583,2.977940,2.4161,3.1250,N/A,N/A
77,2.204537,3.270172,2.7333,3.5000,N/A,N/A
78,1.747505,3.213140,2.6744,4.0000,N/A,N/A
79,1.479354,3.329861,2.4794,3.2222,N/A,N/A
80,2.227701,3.243287,2.6886,3.4000,N/A,N/A
81,2.289397,3.579549,2.5028,3.3750,N/A,N/A
82,1.831228,3.691910,2.7958,3.3750,N/A,N/A
83,1.613745,3.139737,2.8178,3.2222,N/A,N/A
84,1.675306,3.778127,2.8405,3.6250,N/A,N/A
85,2.595014,3.608533,2.7739,3.3750,N/A,N/A
86,2.151243,4.094410,2.8236,4.1250,N/A,N/A
87,2.626440,4.274898,2.6833,3.3750,N/A,N/A
88,2.329371,4.066767,2.4822,3.3750,N/A,N/A
89,2.569464,4.383866,2.7403,3.2500,N/A,N/A
90,1.706584,4.384948,2.8311,3.3750,N/A,N/A
91,2.596474,4.733730,2.8208,3.7500,N/A,N/A
92,2.623996,5.018773,2.7302,3.5714,N/A,N/A
93,2.555726,4.991155,2.5772,3.0000,N/A,N/A
94,1.852433,3.753886,2.7567,3.5000,N/A,N/A
95,2.517838,5.388223,2.7194,3.5556,N/A,N/A
96,2.649011,5.495581,2.7779,3.5556,N/A,N/A
97,3.090944,5.708246,2.8139,3.6250,N/A,N/A
98,1.965718,3.728591,2.7681,3.3333,N/A,N/A
99,3.308271,6.309167,2.6839,3.3750,N/A,N/A
100,2.669058,6.010501,2.7647,3.2222,N/A,N/A
