Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.015544,0.035083,1.8125,2.6974,1.115963,1.417065
11,0.015002,0.018113,1.6805,2.1978,1.153715,1.632655
12,0.021741,0.026340,1.4805,2.2161,1.103393,1.352873
13,0.021294,0.028142,1.6103,2.1526,1.076891,1.363255
14,0.027492,0.048417,1.5718,2.8167,1.175595,1.654453
15,0.027959,0.037970,1.4673,2.0514,1.053432,1.286400
16,0.048757,0.082332,1.6061,2.8450,1.109097,1.580365
17,0.050042,0.105627,1.3189,2.2410,1.039087,1.193657
18,0.051992,0.066350,1.5321,2.2727,1.106942,1.502707
19,0.060786,0.091474,1.5047,2.2579,1.038682,1.136643
20,0.065284,0.100524,1.7380,2.7180,1.171407,1.395069
21,0.068832,0.109037,1.8010,3.0634,1.159899,1.580795
22,0.077915,0.104005,1.4436,2.0841,1.101927,1.413946
23,0.082563,0.113906,1.5441,2.3569,1.206426,1.512570
24,0.089314,0.128303,1.7595,2.5366,N/A,N/A
25,0.107731,0.148374,1.5103,2.1750,N/A,N/A
26,0.117631,0.159913,1.4037,2.4359,N/A,N/A
27,0.096717,0.177339,1.7889,2.3248,N/A,N/A
28,0.156546,0.207351,1.4689,1.9998,N/A,N/A
29,0.118101,0.183093,1.6290,2.4657,N/A,N/A
30,0.136082,0.197905,1.7339,2.1812,N/A,N/A
31,0.188196,0.249438,1.6423,2.6937,N/A,N/A
32,0.221558,0.318184,1.5526,2.2228,N/A,N/A
33,0.279119,0.439034,1.7425,2.4840,N/A,N/A
34,0.246677,0.448620,1.3841,2.1787,N/A,N/A
35,0.180960,0.334286,1.7143,2.1534,N/A,N/A
36,0.238498,0.382393,1.6037,2.2937,N/A,N/A
37,0.266818,0.566792,1.6527,2.3002,N/A,N/A
38,0.230055,0.408031,1.7909,2.1940,N/A,N/A
39,0.304829,0.614860,1.5544,1.9923,N/A,N/A
40,0.309389,0.497610,1.6766,2.0561,N/A,N/A
41,0.258987,0.527978,1.8701,2.6591,N/A,N/A
42,0.410323,0.606614,1.4804,2.5385,N/A,N/A
43,0.396682,0.600452,1.5613,2.1413,N/A,N/A
44,0.386796,0.751415,1.8813,2.7851,N/A,N/A
45,0.374138,0.669208,1.4995,2.2582,N/A,N/A
46,0.531448,0.762791,1.5140,2.5836,N/A,N/A
47,0.504061,0.767506,1.7098,2.1893,N/A,N/A
48,0.620714,0.813997,1.4782,2.1009,N/A,N/A
49,0.615761,0.804984,1.6500,2.1116,N/A,N/A
50,0.481354,0.867557,1.6119,1.9213,N/A,N/A
51,0.609556,0.989398,1.5981,2.2166,N/A,N/A
52,0.656396,1.024278,1.4403,2.2322,N/A,N/A
53,0.594939,1.062943,1.3898,1.9944,N/A,N/A
54,0.794373,1.158195,1.4763,2.0640,N/A,N/A
55,0.680189,1.215714,1.5936,2.1212,N/A,N/A
56,0.607428,1.263826,1.4870,2.2840,N/A,N/A
57,0.844935,1.329423,1.5337,2.0520,N/A,N/A
58,0.803902,1.381290,1.4134,1.9398,N/A,N/A
59,0.851865,1.254500,1.5952,2.1849,N/A,N/A
60,0.945630,1.511116,1.4870,1.9506,N/A,N/A
61,0.726750,1.392133,1.5680,1.9064,N/A,N/A
62,0.957275,1.331783,1.4837,2.3796,N/A,N/A
63,0.884533,1.548206,1.6576,2.4904,N/A,N/A
64,0.952991,1.835053,1.6319,2.1316,N/A,N/A
65,1.595667,2.306480,1.8170,3.1787,N/A,N/A
66,1.204790,2.114547,1.4352,1.7680,N/A,N/A
67,1.760421,2.487999,1.4344,1.9451,N/A,N/A
68,1.438525,2.799687,1.4270,1.9027,N/A,N/A
69,1.177469,2.268392,1.5668,2.4420,N/A,N/A
70,1.567740,2.463099,1.3882,1.7963,N/A,N/A
71,1.610581,2.538139,1.7139,2.4230,N/A,N/A
72,1.688444,2.565555,1.7439,2.6854,N/A,N/A
73,1.018243,2.756361,1.5863,2.2703,N/A,N/A
74,1.841257,3.223444,1.5604,2.6904,N/A,N/A
75,1.600508,2.917482,1.4340,2.3887,N/A,N/A
76,1.984953,3.015818,1.3532,2.2551,N/A,N/A
77,2.159282,3.186675,1.8458,2.6014,N/A,N/A
78,1.793727,3.278087,1.4699,2.1461,N/A,N/A
79,1.546021,3.472630,1.5451,2.2088,N/A,N/A
80,2.345291,3.444642,1.3964,1.7226,N/A,N/A
81,2.372228,3.733331,1.5737,2.2851,N/A,N/A
82,1.913488,3.874963,1.6094,2.2672,N/A,N/A
83,1.606907,3.303870,1.6651,1.9394,N/A,N/A
84,1.734387,3.889234,1.6593,2.8168,N/A,N/A
85,2.657834,3.760820,1.4609,2.3418,N/A,N/A
86,2.229794,4.249217,1.5573,2.1990,N/A,N/A
87,2.591570,4.275775,1.4247,1.8817,N/A,N/A
88,2.234963,3.720623,1.4362,2.5389,N/A,N/A
89,2.612551,4.451545,1.5435,2.1077,N/A,N/A
90,1.679502,4.439206,1.7741,2.6271,N/A,N/A
91,2.722348,4.745139,1.5878,2.1201,N/A,N/A
92,2.736383,5.273380,1.7406,2.4725,N/A,N/A
93,2.677843,5.246852,1.3419,1.7622,N/A,N/A
94,1.916391,3.941512,1.6320,2.1392,N/A,N/A
95,2.581060,5.618829,1.5079,2.0261,N/A,N/A
96,2.707765,5.301700,1.7380,2.5938,N/A,N/A
97,2.731590,5.953706,1.4961,1.9617,N/A,N/A
98,2.039119,3.893695,1.7835,2.5965,N/A,N/A
99,3.249356,6.556551,1.6248,2.1907,N/A,N/A
100,2.785821,6.290211,1.6619,3.0368,N/A,N/A
