Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.015717,0.035868,2.1694,2.8306,1.158040,1.524359
11,0.018510,0.022401,1.8583,2.8294,1.021099,1.101270
12,0.018348,0.022054,2.0745,3.6992,1.058215,1.468638
13,0.022122,0.026800,2.1096,2.4564,1.098573,1.324347
14,0.028406,0.044522,2.2365,3.4554,1.083748,1.361272
15,0.031735,0.038755,2.3461,3.5482,1.122481,1.439557
16,0.039870,0.065156,1.9343,3.0997,1.074421,1.303415
17,0.046449,0.060752,2.5516,3.3537,1.112277,1.454640
18,0.063156,0.099265,2.0769,2.7593,1.040755,1.346087
19,0.063401,0.115019,2.2052,3.3868,1.101893,1.278825
20,0.074137,0.109926,2.6494,3.5851,1.130023,1.358806
21,0.071196,0.096427,1.9855,2.9958,1.112793,1.325175
22,0.083981,0.110521,2.1188,2.9915,N/A,N/A
23,0.079816,0.117888,2.3815,3.3441,N/A,N/A
24,0.093952,0.136024,2.2187,3.4374,N/A,N/A
25,0.103816,0.156663,2.1901,3.1742,N/A,N/A
26,0.107550,0.156436,2.6435,3.1835,N/A,N/A
27,0.130912,0.173057,2.2269,2.6570,N/A,N/A
28,0.102475,0.183071,2.8172,3.5245,N/A,N/A
29,0.130074,0.204052,2.2604,3.0369,N/A,N/A
30,0.157543,0.234070,2.3537,3.2348,N/A,N/A
31,0.177594,0.263206,2.2343,3.1500,N/A,N/A
32,0.241548,0.429633,2.2449,2.9235,N/A,N/A
33,0.251047,0.381243,2.2414,3.4681,N/A,N/A
34,0.238568,0.529830,2.4912,2.9835,N/A,N/A
35,0.281972,0.481327,2.4271,3.0206,N/A,N/A
36,0.292897,0.508345,2.3849,2.9108,N/A,N/A
37,0.290093,0.508398,2.4046,3.0671,N/A,N/A
38,0.401070,0.505328,2.3576,3.4548,N/A,N/A
39,0.309190,0.470669,2.3383,3.6276,N/A,N/A
40,0.384090,0.636493,1.9835,2.9528,N/A,N/A
41,0.370625,0.573808,2.3644,3.4770,N/A,N/A
42,0.431555,0.601916,2.7195,4.5082,N/A,N/A
43,0.416648,0.609130,2.4833,3.7065,N/A,N/A
44,0.388849,0.597484,2.7778,3.4533,N/A,N/A
45,0.325497,0.834146,2.4940,3.1386,N/A,N/A
46,0.655902,0.790465,2.8743,3.7042,N/A,N/A
47,0.477656,0.898420,2.7230,3.7042,N/A,N/A
48,0.506137,0.870802,2.3605,2.9227,N/A,N/A
49,0.602924,0.861005,2.2372,3.1786,N/A,N/A
50,0.564607,0.950451,2.4155,3.0905,N/A,N/A
