Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,2.766419,12.594700,3.3401,4.1429,1.292396,1.571429
11,2.086002,14.903139,3.3429,4.1667,1.265143,1.444444
12,2.153725,10.921436,3.3010,3.8571,1.287693,1.400000
13,2.613087,7.186258,3.3679,4.0000,1.213860,1.454545
14,5.149202,28.974054,3.3388,4.5000,1.207946,1.368421
15,1.701935,7.544428,3.3972,3.8571,1.254578,1.450000
16,31.955564,215.138099,3.3500,4.0000,1.178475,1.476190
17,173.457108,1603.917324,3.4433,4.3750,1.282322,1.666667
18,36.867875,74.429148,3.1513,3.4286,1.190714,1.315789
19,159.390315,980.178797,3.3651,4.0000,1.210639,1.304348
20,21.763832,51.343457,3.6888,4.2857,1.212980,1.450000
21,20.482378,69.922542,3.4206,3.7500,1.176545,1.375000
22,29.476656,73.267557,3.8889,4.8571,1.282130,1.416667
23,25.331472,54.049392,3.8347,4.5000,1.322905,1.523810
24,45.758897,226.747744,3.8049,4.2857,1.257332,1.375000
25,27.503702,90.087763,3.8988,4.7143,1.273956,1.409091
26,24.759023,70.813797,3.5870,4.2222,1.202938,1.407407
27,19.324728,75.035363,3.9431,5.0000,1.328577,1.500000
28,344.503286,2423.304454,4.0135,5.2857,1.343051,1.791667
29,28.559347,60.115264,3.9452,5.5714,1.293771,1.571429
30,42.816815,189.415031,3.8849,4.7500,1.198378,1.461538
31,24.652245,91.068090,3.8580,4.6250,N/A,N/A
32,42.166849,131.750438,3.7951,4.1250,N/A,N/A
33,182.292682,1195.174706,3.7666,4.8750,N/A,N/A
34,27.921171,61.951006,4.4401,5.1429,N/A,N/A
35,29.155326,148.524253,4.3611,5.5000,N/A,N/A
36,472.628700,3956.030065,3.9568,4.7500,N/A,N/A
37,49.684235,247.921100,4.3062,5.0000,N/A,N/A
38,39.706982,130.295335,4.3476,5.1429,N/A,N/A
39,4106.072874,40689.805987,4.3978,5.5714,N/A,N/A
40,78.306776,521.714127,4.2023,5.7143,N/A,N/A
41,441.544937,2842.636941,4.2562,5.0000,N/A,N/A
42,1985.783616,10832.178223,4.0703,5.4286,N/A,N/A
43,2032.209634,15993.999531,4.4253,5.1429,N/A,N/A
44,49843.050655,392703.720958,4.3628,4.6667,N/A,N/A
45,1756.696046,4066.276252,4.3210,5.0000,N/A,N/A
46,1637.604034,8195.422064,4.2083,5.1250,N/A,N/A
47,4518.566281,24557.124074,4.2075,4.8889,N/A,N/A
48,730.966484,2768.719063,4.6134,5.6250,N/A,N/A
49,1398.716203,7138.296084,4.3847,5.0000,N/A,N/A
50,1469.494227,3253.316360,4.3385,4.6250,N/A,N/A
51,6672.336573,44175.934440,4.4511,5.5000,N/A,N/A
52,2005.430994,5185.360214,4.4213,5.4444,N/A,N/A
