Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,3.271125,17.785696,1.8367,2.4016,1.188598,1.623924
11,3.629943,20.215514,1.6837,2.3384,1.107890,1.239986
12,0.136612,0.703763,1.9165,2.7691,1.213336,1.595378
13,5.155277,26.768550,1.8225,2.2719,1.161811,1.518507
14,5.674060,27.903470,1.8356,3.3661,1.212446,1.397901
15,3.337283,15.047687,1.7821,2.1606,1.172650,1.433563
16,21.073328,85.748191,1.6668,2.8439,1.238863,1.529049
17,25.494491,165.556898,1.5193,1.9148,1.214376,1.582861
18,99.869352,406.402671,1.8736,2.6929,1.277778,1.553406
19,19.421447,69.304303,1.7725,3.0094,1.254327,1.843616
20,22.498086,106.415632,1.9989,2.9465,1.221528,1.402355
21,23.358083,72.395053,2.2114,3.0928,1.324501,1.669538
22,37.254589,192.448365,2.1058,3.3406,1.216357,1.623233
23,66.243801,206.180124,1.9605,3.2134,1.221255,1.773604
24,19.672028,104.269739,2.5429,3.0867,1.306232,1.571916
25,98.736290,355.952677,1.9154,2.5287,1.266486,1.749569
26,56.177485,202.758462,2.2349,3.4418,1.370396,1.985201
27,49.095161,221.547670,1.8147,2.5804,1.135261,1.346807
28,29.204365,141.400477,2.1097,3.0662,1.235612,1.754597
29,26.653767,131.919711,2.0997,3.3945,1.262877,1.494846
30,40.418576,102.952930,1.9985,2.4121,1.191372,1.459335
31,41.726362,116.834656,1.8344,2.0202,1.305434,1.583043
32,18.009437,57.953526,1.6247,2.0688,1.210094,1.366504
33,18.721550,65.473680,2.1445,3.3142,1.507570,1.507570
34,30.534315,60.208069,2.2975,2.4680,N/A,N/A
35,11.796997,24.369075,1.8985,2.8521,N/A,N/A
36,32.693106,127.268339,2.2920,3.2832,N/A,N/A
37,28.107762,69.320070,1.9708,2.6454,N/A,N/A
38,74.705023,297.670002,1.9312,2.7219,N/A,N/A
39,28.753502,107.382334,2.4597,3.5480,N/A,N/A
40,40.023030,113.296597,2.3885,3.4799,N/A,N/A
41,44.548128,84.873195,2.5159,2.9444,N/A,N/A
42,617.346981,1712.780073,1.8700,2.4136,N/A,N/A
43,3343.745612,25313.002871,1.7465,2.4194,N/A,N/A
44,526.433698,833.764386,2.4429,3.5024,N/A,N/A
45,1025.802671,2694.859194,2.0049,2.4161,N/A,N/A
46,376.982329,798.947795,2.1529,2.7224,N/A,N/A
47,182.393146,683.893516,2.2085,2.7435,N/A,N/A
48,7359.758340,35448.198180,1.9486,2.4580,N/A,N/A
49,2234.354507,8378.426965,2.5363,2.9495,N/A,N/A
50,3424.428952,13372.659564,2.2139,2.6620,N/A,N/A
51,603.334160,1764.191564,1.7830,2.3359,N/A,N/A
52,374.618495,682.347076,2.1870,2.7190,N/A,N/A
53,412.175755,1087.737078,2.1039,3.0948,N/A,N/A
54,11327.159077,44777.889020,1.8128,2.6372,N/A,N/A
