Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,3.667458,12.756751,2.5010,3.2296,1.175826,1.386895
11,6.128544,29.399862,2.6884,3.9218,1.305199,1.484599
12,4.272992,12.674806,2.7705,3.7881,1.305226,1.715289
13,2.433804,17.536711,2.7154,3.3657,1.169089,1.552337
14,0.718830,5.269130,2.7575,3.5176,1.207746,1.476948
15,0.869210,6.602548,2.5724,3.6206,1.136520,1.334345
16,27.517307,156.347909,2.8909,3.9065,1.242290,1.527108
17,128.062403,792.909551,3.0567,4.3032,1.175246,1.410590
18,24.850276,106.738707,3.2770,3.6839,1.234498,1.395855
19,11.442593,36.674916,3.0969,3.7111,1.224265,1.494932
20,27.091810,142.684030,3.2803,4.1737,1.288483,1.470591
21,117.702028,889.725199,3.1512,4.0302,1.272082,1.782426
22,61.510348,238.084481,3.4905,4.5964,1.382578,1.602414
23,42.097233,106.463449,3.1512,3.8740,1.326100,1.569625
24,39.732011,149.680999,3.3651,4.5315,1.289401,1.560927
25,27.877790,88.513900,3.2326,3.9459,1.246003,1.426526
26,129.002198,827.922871,3.4034,4.2511,1.383815,1.731408
27,21.298450,45.592222,3.5469,4.1581,1.337913,1.612733
28,32.335598,89.950481,3.1076,4.0093,1.166253,1.414333
29,138.223743,1199.429222,3.6682,4.5527,1.345866,1.661554
30,38.511334,65.983931,3.3417,4.2340,1.270631,1.479690
31,45.612598,124.638447,3.6357,4.3272,1.262941,1.665712
32,41.170141,83.916606,3.4353,4.0821,1.213553,1.440375
33,59.477436,271.004911,3.6244,4.7029,1.132198,1.201444
34,10.454132,28.285260,3.5311,4.2430,N/A,N/A
35,56.178653,189.509749,3.4741,4.5948,N/A,N/A
36,23.174181,55.223033,3.6154,4.4719,N/A,N/A
37,420.367692,3115.145578,3.7468,4.2312,N/A,N/A
38,77.981897,523.390589,3.8508,4.9392,N/A,N/A
39,20.521917,82.864569,3.5730,4.5864,N/A,N/A
40,80.364828,258.686817,3.2656,4.0902,N/A,N/A
41,29.889535,66.581582,3.5451,4.2329,N/A,N/A
42,1408.819309,7446.854561,3.0848,4.2009,N/A,N/A
43,762.760202,2743.887134,3.6147,4.1267,N/A,N/A
44,1170.757902,2836.208023,3.4973,4.1143,N/A,N/A
45,3497.560223,14352.968259,3.4963,5.1732,N/A,N/A
46,395.566427,910.341421,3.6523,4.2395,N/A,N/A
47,3811.398716,16410.480209,3.9294,4.8548,N/A,N/A
48,3495.496766,27287.483563,3.7671,5.0592,N/A,N/A
49,2659.659927,15202.043831,3.6172,4.4903,N/A,N/A
50,8457.697716,42358.960755,3.6696,4.4136,N/A,N/A
51,3506.404116,22816.730345,4.2133,5.6921,N/A,N/A
52,561.841314,1359.119127,3.6460,3.9423,N/A,N/A
53,1328.843090,2958.886347,3.5827,4.4842,N/A,N/A
54,321.809560,1099.148587,3.7848,4.5348,N/A,N/A
55,16207.413238,70117.505497,3.4477,4.4387,N/A,N/A
56,1235.476850,4147.176084,3.6509,4.0335,N/A,N/A
