Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,2.707926,9.689949,3.3458,4.1429,1.292343,1.625000
11,3.878902,13.020251,3.3446,4.3333,1.232017,1.571429
12,2.915433,7.344573,3.0252,3.7143,1.175265,1.500000
13,2.494348,7.083129,3.6458,4.4286,1.295623,1.555556
14,3.171852,8.626175,3.3315,4.1667,1.293074,1.588235
15,4.012140,13.429746,3.4393,4.1667,1.224170,1.333333
16,46.115378,339.579249,3.3613,4.2857,1.241891,1.363636
17,18.898404,66.633003,3.4556,4.0000,1.196012,1.409091
18,36.211295,117.974062,3.3157,4.0000,1.218926,1.400000
19,193.736056,839.828459,3.7791,4.3750,1.294498,1.521739
20,24.509002,104.504193,3.2683,3.6250,1.182370,1.421053
21,113.817647,717.533866,3.8901,5.1429,1.303746,1.520000
22,158.541345,632.801999,3.6440,4.6667,1.236339,1.333333
23,201.467341,900.952548,3.8815,4.2857,1.295351,1.480000
24,74.417159,296.879322,3.9458,5.0000,1.241359,1.666667
25,158.582493,750.312824,3.6996,5.1429,1.274272,1.440000
26,26.055754,83.299642,3.8552,4.2857,1.216198,1.363636
27,203.830920,637.692105,4.0976,4.7500,1.260189,1.384615
28,154.874237,941.820300,4.0565,4.8571,1.210050,1.391304
29,76.529289,377.662068,4.1575,5.8571,1.278163,1.518519
30,57.540110,170.539340,3.9649,4.8571,1.247444,1.370370
31,52.091180,285.796724,4.0829,4.8571,1.368920,1.608696
32,69.243253,206.716532,4.1131,5.0000,N/A,N/A
33,588.341998,2616.847655,4.1994,5.2857,N/A,N/A
34,130.218864,469.809210,4.1316,4.7500,N/A,N/A
35,176.424494,1194.214233,4.3810,5.1429,N/A,N/A
36,253.396434,1621.865262,4.4123,5.2857,N/A,N/A
37,149.194304,758.219895,4.3492,5.2500,N/A,N/A
38,64.038932,177.045159,4.3368,5.3750,N/A,N/A
39,90.278220,439.358395,4.5379,5.3750,N/A,N/A
40,51.339927,96.627891,4.3594,5.2500,N/A,N/A
41,174.327404,968.373096,4.5340,5.7500,N/A,N/A
42,27559.377885,186210.154356,4.4566,5.8889,N/A,N/A
43,935.864694,4425.557972,4.3056,5.0000,N/A,N/A
44,375.087963,866.532640,4.4213,4.8889,N/A,N/A
