Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,0.416642,2.304174,2.0110,3.5341,1.208981,1.551379
11,1.566125,9.968691,1.9749,3.0707,1.235514,1.482922
12,8.060018,23.108846,2.1835,3.1765,1.229067,1.696431
13,11.551575,34.749016,1.7554,2.5638,1.135136,1.650574
14,3.376439,11.136671,1.6106,2.2753,1.136011,1.386714
15,3.714715,27.084303,1.9388,3.1593,1.353174,1.711252
16,31.152829,176.503974,1.7238,3.0969,1.193502,1.405833
17,45.856546,237.382386,1.7670,2.1310,1.208236,1.683934
18,63.446371,295.483772,2.1165,3.2414,1.331430,1.506513
19,31.126896,72.799549,1.8337,3.8342,1.186911,1.467894
20,20.580559,68.998626,1.8503,2.5744,1.293550,1.796065
21,59.362935,201.310459,2.2167,2.7869,1.302070,1.598608
22,216.319982,1098.592793,1.8570,2.3214,1.187082,1.397604
23,29.765297,178.386978,1.9651,2.9156,1.198197,1.379125
24,36.516029,149.678688,2.1279,2.7252,1.385947,1.541066
25,72.887743,296.407992,2.0530,3.0013,1.302261,1.846501
26,152.003038,1011.778344,2.0220,3.2983,1.291703,1.710484
27,29.966320,113.545037,1.9856,2.9678,1.248555,1.664102
28,84.513740,174.619332,2.2893,3.2939,1.406283,1.663876
29,39.275636,82.207895,2.4366,3.2139,1.428571,1.768315
30,54.982348,205.622594,1.9084,2.5224,1.251937,1.434932
31,58.428502,178.671214,2.0548,2.8831,1.374699,1.656947
32,80.730125,282.358989,2.0409,2.9367,1.400324,1.578010
33,56.678606,144.394358,2.0877,3.7537,N/A,N/A
34,51.278265,272.960317,1.7899,2.3427,N/A,N/A
35,42.485219,137.902753,1.8248,2.9472,N/A,N/A
36,344.437207,1758.645433,2.3191,4.2247,N/A,N/A
37,45.920929,135.361206,2.4335,3.6436,N/A,N/A
38,84.867036,140.305884,2.5699,2.6101,N/A,N/A
39,19.364613,39.080111,2.2781,2.9511,N/A,N/A
40,110.730643,238.751794,2.2606,3.1972,N/A,N/A
41,59.601236,156.672091,2.2676,3.1942,N/A,N/A
42,487.209322,1030.513898,2.2222,2.9019,N/A,N/A
43,1111.938719,2311.391432,1.8907,2.2527,N/A,N/A
44,2781.395112,6759.219824,2.2479,2.5894,N/A,N/A
45,1385.200843,3569.999060,1.9067,2.0541,N/A,N/A
46,329.113977,618.909292,1.9213,2.4258,N/A,N/A
47,16583.554629,65386.335098,2.5481,2.8317,N/A,N/A
48,160.878547,401.900421,2.1964,2.7915,N/A,N/A
49,160.201559,218.469930,2.0489,3.0275,N/A,N/A
50,1356.671227,5457.146720,1.9937,2.1805,N/A,N/A
