Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,6.745152,18.628860,2.4678,2.8661,1.323526,1.470442
11,0.891391,4.820290,3.0250,3.8317,1.358930,1.801952
12,4.650256,18.327222,2.8194,3.4003,1.289143,1.527993
13,1.092786,4.693858,2.8220,3.9859,1.236346,1.444811
14,4.430810,23.718724,2.8107,3.0850,1.310832,1.581653
15,5.028692,20.611170,2.9824,4.0141,1.249988,1.589454
16,45.812197,274.837986,2.9458,3.8701,1.220340,1.381102
17,10.562579,45.228879,2.9184,3.6617,1.183053,1.412676
18,72.619028,424.667823,3.1855,4.0915,1.369570,1.677322
19,59.608193,184.134521,3.1640,3.7362,1.226645,1.476634
20,145.359836,1086.565355,2.8530,4.1421,1.241962,1.678557
21,54.870730,242.676276,3.4366,4.2776,1.202372,1.474274
22,18.025357,54.088919,3.4365,4.4362,1.312068,1.541131
23,142.777999,909.819114,3.3324,4.4833,1.335362,1.515812
24,30.177858,94.455382,3.5278,4.4973,1.287965,1.526522
25,213.959363,961.508227,3.1889,4.3504,1.299650,1.616968
26,83.539806,279.978287,2.8870,3.8203,1.301243,1.539522
27,27.982172,55.013098,3.6145,5.2157,1.356035,1.877077
28,311.558299,1681.356424,3.6197,4.2873,1.378844,1.797100
29,204.036566,790.608369,3.3907,4.1889,1.227950,1.407721
30,265.362686,1567.399140,3.8206,4.3013,1.369537,1.528702
31,60.646072,156.607981,3.4499,4.3454,1.289125,1.422346
32,65.553018,197.967450,3.4677,4.2720,N/A,N/A
33,206.584464,1494.995737,3.5317,4.6462,N/A,N/A
34,59.792210,273.676460,3.5587,4.4724,N/A,N/A
35,366.157904,2065.520392,3.7551,5.0213,N/A,N/A
36,216.624027,1518.987151,3.6844,4.5844,N/A,N/A
37,87.541615,236.389548,3.5390,4.5500,N/A,N/A
38,57.479844,167.405367,3.5650,4.8567,N/A,N/A
39,742.314960,3081.102083,4.2577,4.7053,N/A,N/A
40,309.660167,1216.496151,3.8797,4.8709,N/A,N/A
41,78.646069,202.845554,4.0200,5.3217,N/A,N/A
42,3311.893001,21075.958122,3.4359,4.3053,N/A,N/A
43,5813.035363,23120.930214,3.8845,4.3991,N/A,N/A
44,919.626538,2211.069650,3.8335,4.9353,N/A,N/A
45,1200.194876,5110.575183,4.0756,5.0073,N/A,N/A
46,2303.212337,11083.558796,3.7904,5.2614,N/A,N/A
47,14020.712690,100646.646954,4.1716,5.1708,N/A,N/A
48,776.539038,3377.812620,3.8269,4.3843,N/A,N/A
49,881.669483,2599.530711,3.7404,4.6806,N/A,N/A
