Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,1.315450,4.699845,2.6542,3.4286,1.162861,1.444444
11,0.636294,5.900868,2.3869,3.4286,1.088235,1.411765
12,0.140553,0.630252,2.4702,3.1429,1.131398,1.400000
13,1.056481,5.165290,2.3232,3.5714,1.145640,1.562500
14,1.264377,9.451447,2.4877,3.5714,1.128011,1.388889
15,0.071657,0.131132,2.6946,4.1429,1.207702,1.611111
16,44.672615,394.039752,2.5732,3.5714,1.016527,1.117647
17,6.265333,26.497168,2.4260,3.2857,1.090611,1.538462
18,31.365364,220.171019,2.4440,3.6250,1.080274,1.222222
19,17.083326,114.709722,2.5274,3.2857,1.177091,1.388889
20,14.039402,108.898929,2.4653,3.8571,1.157268,1.437500
21,50.435396,313.779091,2.5115,3.0000,0.843870,1.235294
22,5.086809,29.426137,2.9048,4.2500,1.108209,1.789474
23,18.210017,141.512115,2.4738,3.2500,1.047650,1.238095
24,9.227443,39.095663,2.3764,3.2857,N/A,N/A
25,12.523250,34.850034,2.7140,3.2500,N/A,N/A
26,22.968485,113.524297,2.7517,3.6250,N/A,N/A
27,6.417469,22.926064,2.6664,3.4444,N/A,N/A
28,6.561036,32.112314,2.3894,3.1250,N/A,N/A
29,515.440229,3122.776753,2.4970,4.1429,N/A,N/A
30,19.432142,138.441616,2.6715,4.0000,N/A,N/A
31,18.417156,109.779732,2.2854,2.8571,N/A,N/A
32,69.179037,539.444268,2.2762,3.5000,N/A,N/A
33,58.814576,331.901095,2.6099,4.5714,N/A,N/A
34,11.658635,35.160866,2.6226,3.2500,N/A,N/A
35,12.996855,76.226720,2.7235,3.1250,N/A,N/A
36,16.243133,66.497735,2.9583,4.3333,N/A,N/A
37,143.753308,948.777878,2.7550,3.7143,N/A,N/A
38,13.601047,79.402194,2.6407,3.1429,N/A,N/A
39,79.787061,630.501891,2.8922,3.6667,N/A,N/A
40,10.829271,71.951620,2.9974,4.5000,N/A,N/A
41,145.360365,1271.388779,2.9367,4.2500,N/A,N/A
42,230.065454,1707.749052,2.6393,3.5000,N/A,N/A
43,427.713947,2233.571819,2.7032,3.2500,N/A,N/A
44,283.498826,1387.681610,2.9625,4.3333,N/A,N/A
45,711.620931,2755.460815,2.4568,3.1111,N/A,N/A
46,410.110760,2031.228997,2.6154,3.0000,N/A,N/A
47,63.226483,337.901358,3.0699,4.5000,N/A,N/A
48,1466.843111,11486.724226,2.9826,4.0000,N/A,N/A
49,574.966115,5326.648618,3.0119,4.6667,N/A,N/A
50,413.687725,2192.995060,2.8097,3.6250,N/A,N/A
