Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,1.365923,9.391802,1.7845,2.8941,1.084915,1.300456
11,2.001662,7.637198,1.7403,2.3862,1.153798,1.329548
12,1.320479,10.062322,1.4555,1.8084,1.088531,1.352873
13,0.688580,4.894963,1.7085,3.1512,1.123011,1.612684
14,0.994772,2.547614,1.5745,2.8167,1.135968,1.511666
15,0.662405,5.515870,1.5264,2.1515,1.090916,1.314895
16,22.019609,139.887932,1.5413,3.2417,1.072079,1.401290
17,12.723595,33.116942,1.4413,3.3000,1.102226,1.476146
18,15.528068,75.330255,1.5490,2.2779,1.111326,1.373694
19,6.203363,28.699153,1.6367,2.2579,1.141494,1.384143
20,4.669195,14.366929,1.6872,2.5002,1.142067,1.676556
21,3.209218,18.381044,1.6573,3.0634,1.130766,1.580795
22,5.106489,32.544227,1.3936,1.8799,1.084357,1.438644
23,89.171042,526.690770,1.4563,2.3569,1.144294,1.512570
24,10.458182,46.943540,1.6956,2.4863,N/A,N/A
25,12.202853,67.407558,1.6119,2.1750,N/A,N/A
26,23.305728,135.849603,1.3218,1.9860,N/A,N/A
27,3.755497,18.823919,1.7008,2.3896,N/A,N/A
28,21.037054,108.492413,1.4967,1.9998,N/A,N/A
29,4.789940,15.535137,1.6845,2.4695,N/A,N/A
30,252.405903,1722.186176,1.7138,2.1812,N/A,N/A
31,38.557091,263.716941,1.6285,2.6937,N/A,N/A
32,23.927254,156.199183,1.5486,2.2228,N/A,N/A
33,20.670348,102.220089,1.6566,2.4049,N/A,N/A
34,4.791602,26.495236,1.3155,2.1787,N/A,N/A
35,3.359176,8.128729,1.8523,2.5485,N/A,N/A
36,8.012382,34.351110,1.4694,1.9162,N/A,N/A
37,10.138553,64.400647,1.6682,2.3002,N/A,N/A
38,3.488150,11.121605,1.8082,2.2103,N/A,N/A
39,12.306544,43.367186,1.6513,2.2904,N/A,N/A
40,3.393986,11.358674,1.6740,1.9155,N/A,N/A
41,7.703399,47.166723,1.7954,2.2745,N/A,N/A
42,952.908057,5333.459129,1.3642,2.0765,N/A,N/A
43,618.748675,4144.367910,1.6017,2.1413,N/A,N/A
44,297.802471,1335.994804,1.8082,2.7851,N/A,N/A
45,60.419330,469.080283,1.4712,2.3109,N/A,N/A
46,2374.942395,22413.903396,1.5825,3.3513,N/A,N/A
47,102.543395,286.762507,1.8098,2.6996,N/A,N/A
48,86.663529,377.738966,1.4067,2.2152,N/A,N/A
49,650.867841,3973.997500,1.7615,2.4553,N/A,N/A
50,872.015858,5924.478073,1.5197,1.9912,N/A,N/A
