Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,3.287247,28.175828,2.2311,3.3277,1.180749,1.524359
11,1.539845,10.784742,1.8578,2.8294,1.025939,1.101270
12,0.353198,2.807795,2.0039,2.6086,1.037722,1.228049
13,0.868840,7.466320,2.2132,2.8655,1.158708,1.705404
14,0.991367,5.981823,2.2680,3.7090,1.094554,1.276593
15,0.413340,2.238788,2.3549,3.5482,1.126369,1.457840
16,7.500186,36.091991,2.0137,3.6571,1.104593,1.617626
17,21.307834,165.633622,2.6029,3.3537,1.132573,1.524413
18,10.900548,50.275660,2.2529,3.1777,1.116013,1.346087
19,18.460351,130.807672,2.4292,3.6651,1.211408,1.575170
20,15.942153,53.129806,2.7911,3.5851,1.160428,1.358806
21,15.580031,65.252890,1.9515,2.9508,1.100604,1.369118
22,7.948837,27.060065,2.2449,3.4154,N/A,N/A
23,121.761659,1079.942826,2.6220,3.9447,N/A,N/A
24,56.717800,434.341046,2.3549,3.4374,N/A,N/A
25,14.660303,84.954009,2.2537,3.1742,N/A,N/A
26,11.105699,44.183038,2.5593,3.4368,N/A,N/A
27,6.038337,28.824637,2.2136,2.6273,N/A,N/A
28,4.180288,15.623693,2.8459,3.8086,N/A,N/A
29,40.721267,212.680349,2.2667,3.0369,N/A,N/A
30,9.982068,30.756533,2.3766,3.2348,N/A,N/A
31,17.933533,69.616473,2.2021,3.4907,N/A,N/A
32,24.270057,152.100059,2.3484,3.3353,N/A,N/A
33,64.534191,482.883076,2.2476,3.4617,N/A,N/A
34,120.340950,1028.112179,2.6773,3.3375,N/A,N/A
35,12.717277,47.877095,2.5872,3.4002,N/A,N/A
36,18.365993,128.844212,2.4679,3.4220,N/A,N/A
37,40.394286,214.318673,2.4990,3.2082,N/A,N/A
38,431.499173,4197.444947,2.4337,3.6002,N/A,N/A
39,4.364229,20.584513,2.3208,3.6276,N/A,N/A
40,120.698271,913.850650,2.0234,2.9528,N/A,N/A
41,13.957164,82.162563,2.6291,3.7870,N/A,N/A
42,271.618487,1780.709708,3.0939,4.6867,N/A,N/A
43,334.385962,2176.730366,2.4564,3.7065,N/A,N/A
44,1049.458907,7044.056830,2.6311,3.4316,N/A,N/A
45,1064.419623,8170.099147,2.5134,3.1386,N/A,N/A
46,1006.063249,5313.795363,3.1473,4.5655,N/A,N/A
47,1432.516379,5728.782735,2.8045,3.7091,N/A,N/A
48,528.977412,2043.697435,2.3293,2.9227,N/A,N/A
49,68.132585,328.327270,2.3353,3.1786,N/A,N/A
50,1487.996698,12471.008062,2.4654,3.0905,N/A,N/A
