Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.556375,0.927114,2.58,3.00,10
11,0.988541,1.709204,2.65,3.17,10
12,2.284303,4.845210,2.57,3.00,10
13,4.457306,9.871454,2.78,3.29,10
14,6.074104,11.887673,2.75,3.33,10
15,10.764245,24.311487,2.72,3.00,10
16,10.557692,15.240707,2.85,3.33,10
17,28.881488,79.292225,2.70,3.00,10
18,30.493508,56.675099,2.69,3.29,10
19,56.074162,124.334870,2.87,3.33,10
20,107.637201,284.935946,3.06,3.86,10
21,101.401123,182.020454,2.91,3.29,10
22,225.660437,481.720823,3.05,3.57,10
23,327.566712,770.705944,2.91,3.50,10
24,697.875948,1585.505406,3.01,3.43,10
25,1073.534832,2295.687021,3.06,3.57,10
26,1525.110602,6012.207639,2.95,3.50,10
27,3166.287653,12571.961075,2.93,3.57,10
28,3275.602415,13551.198494,3.00,3.71,10
29,6842.866619,14913.855759,3.05,3.57,10
30,5809.227155,9002.505390,3.08,3.50,5
