Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.397258,0.549761,1.56,2.08,10
11,0.881495,1.185577,1.52,2.16,10
12,1.160748,1.885142,1.55,2.10,10
13,1.826028,3.421310,1.56,2.14,10
14,4.676321,11.680625,1.51,2.41,10
15,7.653875,15.009777,1.53,1.93,10
16,12.748250,44.517421,1.43,1.86,10
17,23.283714,40.561355,1.26,1.74,10
18,21.641541,51.801028,1.40,1.91,10
19,62.381975,140.589124,1.41,2.29,10
20,101.497002,175.680065,1.65,2.53,10
21,131.955652,233.756469,1.62,2.01,10
22,163.721968,432.129969,1.67,2.74,10
23,180.511257,460.316967,1.61,2.41,10
24,734.623643,2883.680292,1.86,2.55,10
25,948.515655,2682.398239,1.54,2.53,10
26,1253.883607,2169.719410,1.62,2.05,10
27,2585.928873,7403.012652,1.52,1.99,10
28,1985.006110,3254.015142,1.64,2.32,10
29,5615.846933,11391.047865,1.68,2.58,10
30,13563.202799,29000.578610,1.68,2.33,10
31,16919.006757,38392.842757,1.46,2.16,10
32,25802.145074,69527.490872,1.40,2.08,10
33,6209.514245,6209.514245,1.57,1.57,1
