Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.515344,0.996765,2.11,2.87,10
11,0.688948,1.871738,2.07,2.74,10
12,1.118181,1.820036,2.18,2.60,10
13,3.752255,5.853787,2.35,2.75,10
14,3.924208,5.459482,2.31,2.84,10
15,6.742663,12.371523,2.21,3.07,10
16,8.338989,17.136759,2.34,3.10,10
17,13.161961,19.730425,2.60,3.40,10
18,49.783415,217.751785,2.59,3.20,10
19,53.941062,108.616709,2.53,2.99,10
20,72.510728,279.192467,2.56,3.17,10
21,126.797035,323.067169,2.48,3.23,10
22,146.939623,328.078981,2.51,2.88,10
23,159.220462,248.346399,2.39,2.84,10
24,444.063066,1208.271180,2.62,3.22,10
25,948.392856,3652.773897,2.56,3.16,10
26,919.064031,2638.620480,2.54,3.05,10
27,2219.712304,4494.591545,2.69,3.57,10
28,4474.570226,15483.063044,2.66,3.21,10
29,6210.535691,22857.351522,2.73,3.39,10
30,11405.857347,51794.339840,2.64,3.15,10
31,8092.897929,24723.579952,2.91,3.48,10
32,19858.948001,50624.244158,2.80,3.51,10
33,17082.196660,22448.280074,2.64,2.85,2
