Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.679129,0.866329,2.62,3.17,10
11,1.143846,1.727530,2.72,3.33,10
12,2.108556,2.846186,2.60,3.17,10
13,2.877116,4.610394,2.82,3.33,10
14,5.186298,7.232912,2.60,3.33,10
15,11.089588,15.481051,2.82,3.50,10
16,17.453376,25.669113,2.71,3.14,10
17,22.652498,38.341589,2.90,3.29,10
18,34.485252,53.082858,2.73,3.43,10
19,64.104993,113.746068,2.88,3.43,10
20,109.923283,164.851702,2.78,3.12,10
21,147.998538,210.990652,2.98,3.43,10
22,199.918885,321.138025,2.94,3.57,10
23,385.391925,641.146414,3.01,3.50,10
24,575.128529,1069.366728,3.19,3.71,10
25,1024.386387,1421.913858,2.90,3.57,10
26,1842.750499,2564.884152,3.16,3.57,10
27,2745.826810,4357.703549,3.26,3.75,10
28,3660.689595,6702.747721,3.40,4.50,10
29,4615.927124,8596.952245,3.24,3.86,9
30,7846.694749,13389.098644,3.13,3.71,10
31,15664.366669,23356.570227,2.96,3.38,5
