Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.663119,0.825377,1.60,2.28,10
11,1.196731,1.791410,1.54,2.07,10
12,1.891039,2.513666,1.78,2.42,10
13,3.305596,4.702163,1.57,2.35,10
14,5.965716,9.199916,1.42,2.05,10
15,9.114615,15.714215,1.39,1.94,10
16,15.251530,19.425086,1.41,2.54,10
17,27.303563,43.274854,1.43,1.80,10
18,34.456076,50.955873,1.62,2.15,10
19,64.341576,87.757195,1.55,2.61,10
20,100.080899,161.331325,1.45,1.91,10
21,155.988381,192.563649,1.73,2.07,10
22,297.411222,540.406355,1.51,1.92,10
23,462.118332,691.724724,1.64,2.58,10
24,754.758051,1054.120033,1.49,2.08,10
25,1040.417462,1435.313827,1.57,2.22,10
26,1872.205580,2273.624595,1.49,2.01,10
27,2700.789516,4197.356010,1.52,2.14,10
28,3550.437934,5247.668222,1.61,2.37,10
29,6667.881853,9457.579550,1.70,2.39,10
30,11124.814657,20837.525344,1.51,2.01,10
31,14329.817512,25373.898406,1.45,2.09,10
32,17600.651535,25193.961912,1.80,2.20,3
