Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,0.569462,0.910251,1.86,2.30,10
11,0.947969,1.075459,2.22,2.54,10
12,1.732044,2.264132,2.18,2.56,10
13,3.526699,5.086343,2.28,2.93,10
14,5.781680,8.666455,2.16,2.66,10
15,8.839317,13.067036,2.42,3.16,10
16,16.529754,30.454387,2.42,3.22,10
17,23.270885,30.579978,2.39,2.88,10
18,37.895584,53.362680,2.32,2.64,10
19,74.208207,107.442290,2.59,3.01,10
20,103.980832,189.775445,2.28,3.00,10
21,173.465774,281.796656,2.78,3.32,10
22,284.843597,428.580711,2.64,3.41,10
23,455.351876,665.295764,2.51,3.32,10
24,778.535390,1164.126190,2.73,3.00,10
25,973.073825,1558.066491,2.40,3.14,10
26,1306.403881,2106.394819,2.23,2.54,10
27,2427.387178,3590.241069,2.62,3.38,10
28,4807.033953,7775.834615,2.62,3.17,10
29,7303.134967,12184.796961,2.73,3.42,10
30,9092.114544,14593.088346,2.74,3.22,10
31,11997.522372,17038.681034,2.66,3.06,5
