Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,1.760227,3.878860,2.27,2.86,10
11,4.899907,9.239899,2.17,2.57,10
12,9.186380,21.423688,2.19,2.57,10
13,24.992342,50.947375,2.00,2.57,10
14,34.354150,85.870407,2.19,2.67,10
15,99.644084,204.957481,2.21,3.14,10
16,193.832795,471.235977,2.53,3.57,10
17,427.049221,1374.987414,2.25,3.29,10
18,932.567403,2802.925454,2.26,3.38,10
19,2235.720163,6614.199808,2.13,3.14,10
20,4639.727391,14707.450616,2.13,3.43,10
21,12912.217062,95781.374143,3.08,4.12,10
22,6060.328289,20303.635648,2.75,3.88,10
23,14697.500100,28304.439949,2.43,2.75,7
