Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,1.280326,2.232470,1.64,2.60,10
11,3.040468,5.115279,1.47,1.85,10
12,10.894153,22.382208,1.34,1.81,10
13,13.780860,21.255968,1.49,1.95,10
14,37.352216,119.960251,1.33,1.94,10
15,110.038087,266.557135,1.41,2.05,10
16,178.826359,469.600459,1.43,2.31,10
17,373.887334,1069.962105,1.27,2.24,10
18,982.615131,3046.864656,1.39,1.89,10
19,1818.714536,3538.850086,1.44,1.99,10
20,5373.141584,15272.695035,1.50,2.29,10
21,6451.650789,21614.264220,1.54,2.40,10
22,18464.674132,55500.008167,1.31,1.63,10
23,9718.348483,34494.313977,1.22,1.40,5
