Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
10,1.570919,3.689062,1.88,2.64,10
11,5.067980,9.054298,1.82,2.83,10
12,8.938721,15.989202,1.94,2.52,10
13,14.437796,26.267712,1.93,2.38,10
14,44.635348,109.074023,2.05,2.91,10
15,111.936501,264.827078,2.07,2.90,10
16,202.116636,601.761013,1.78,2.40,10
17,221.160183,478.393772,2.31,2.96,10
18,896.816837,3098.286423,2.00,2.76,10
19,2460.687899,6934.493838,1.98,2.82,10
20,2373.245927,11474.476462,2.34,3.07,10
21,6951.792639,24704.847907,1.78,2.95,10
