Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,2.443456,22.215506,2.1098,2.8660,1.363845,1.932925
11,6.154900,57.546679,1.9326,2.8294,1.293482,1.512384
12,1151.116577,9780.632542,1.9381,2.9057,1.253727,1.674094
13,14.196982,85.125569,2.0658,3.0771,1.344387,1.728937
14,198.175667,1789.909311,2.1204,2.8122,1.482452,1.941569
15,5862.478971,46840.667775,1.8959,2.1669,1.235591,1.615380
16,318.129038,3075.309871,1.8765,3.1386,1.332374,1.729848
17,3.516439,21.537107,2.2755,2.7576,1.847921,2.528925
18,669.176482,5233.473255,2.4730,3.3256,1.829482,2.322135
19,6.937829,25.825382,2.4158,3.0508,1.852755,2.402326
20,167.503671,1599.696498,2.5691,3.3406,1.604565,2.177329
21,638.992803,5089.416766,2.5644,3.7624,1.616518,2.146588
22,152.358166,1272.209907,2.5881,3.0978,1.592249,2.216253
23,229.841830,1240.158336,2.5098,3.2451,1.621922,2.538157
