Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,1.782975,14.183337,2.1003,2.9577,1.312270,1.702688
11,22.072930,131.602413,1.9021,2.5970,1.270328,1.686048
12,10.067423,62.703683,1.5536,2.3298,1.173534,1.795234
13,10.849034,57.148510,1.9725,3.3673,1.328003,1.723272
14,94.129849,852.420933,1.6943,2.0507,1.311120,1.991719
15,8.813752,50.991524,1.7678,3.1200,1.235900,1.653372
16,277.900910,1992.723006,1.8356,3.1758,1.258917,1.657164
17,155.299786,1247.235134,2.0960,3.6671,1.653159,2.244013
18,28.139140,257.575366,2.3582,3.4999,1.696581,1.966669
19,66.976816,434.965847,2.1738,2.5564,1.531624,2.153838
20,288.915824,2850.395236,2.4392,3.2510,1.694048,2.383780
21,66.413717,333.190025,2.1636,3.0634,1.449795,2.113268
22,3.413461,20.338819,2.2034,2.9153,1.692985,2.192194
23,419.496865,3251.748559,2.3811,3.4859,1.854477,2.272677
24,228.499456,1467.377345,2.2283,3.2177,N/A,N/A
25,207.693467,1005.376580,1.9326,2.4803,N/A,N/A
26,809.770890,8034.712137,2.0054,2.6952,N/A,N/A
27,611.317996,5832.872161,2.3233,2.9606,N/A,N/A
28,1439.597606,5239.430192,2.0104,2.3702,N/A,N/A
29,111.139001,1034.176115,1.9884,2.5156,N/A,N/A
30,359.993051,2812.259733,2.1906,2.8359,N/A,N/A
31,1390.296885,10823.344476,2.1298,3.5378,N/A,N/A
32,165.494974,994.756247,1.8420,2.9135,N/A,N/A
33,7391.845795,53055.822888,2.2959,3.2457,N/A,N/A
34,82.640240,321.645762,1.8845,2.3100,N/A,N/A
35,907.067100,3306.168010,2.4491,3.5485,N/A,N/A
36,280.030357,1040.227597,2.0340,2.8492,N/A,N/A
